Component ID,Component Name,Parent Component ID,Quantity,Level (Hierarchy Level),Assembly Type,Criticality Level (High/Medium/Low),Supplier ID,Lead Time (Weeks)
COMP0384,Connector-4937,COMP0384,102,2,PCB Assembly,High,SUPP022,32
COMP0001,Crystal-2824,COMP0397,179,2,Raw Part,Medium,SUPP037,47
COMP0221,IC-6378,COMP0192,48,2,PCB Assembly,High,SUPP024,33
COMP0486,Connector-7770,COMP0291,55,2,Sub-assembly,High,SUPP024,52
COMP0389,Diode-7625,COMP0462,105,2,Raw Part,Low,SUPP014,41
COMP0086,Transistor-4923,ROOT,22,1,Raw Part,Medium,SUPP044,2
COMP0300,LED-3503,COMP0249,173,2,PCB Assembly,High,SUPP035,49
COMP0490,Crystal-8242,ROOT,150,1,PCB Assembly,High,SUPP028,34
COMP0406,Capacitor-4180,ROOT,155,1,Raw Part,Low,SUPP035,32
COMP0243,LED-5920,COMP0310,110,4,Raw Part,Medium,SUPP044,21
COMP0419,Connector-6582,COMP0185,171,2,Raw Part,Medium,SUPP046,22
COMP0413,Sensor-5786,COMP0234,179,2,Raw Part,Low,SUPP018,2
COMP0309,Connector-1096,COMP0272,72,2,Cable Assembly,Low,SUPP032,24
COMP0232,IC-9379,COMP0338,122,3,Raw Part,Medium,SUPP001,41
COMP0491,Resistor-4335,COMP0165,5,4,Raw Part,Low,SUPP095,21
COMP0348,Capacitor-1420,COMP0311,125,3,Raw Part,Medium,SUPP011,23
COMP0220,Resistor-4164,COMP0483,122,4,Cable Assembly,Low,SUPP013,47
COMP0198,Sensor-1590,COMP0100,183,2,Sub-assembly,Medium,SUPP074,51
COMP0439,Inductor-1043,COMP0017,33,3,Raw Part,High,SUPP087,36
COMP0448,IC-2880,COMP0459,115,3,Cable Assembly,Medium,SUPP070,16
COMP0125,Capacitor-5073,COMP0386,169,2,PCB Assembly,High,SUPP092,2
COMP0083,MOSFET-6310,COMP0168,99,4,PCB Assembly,Medium,SUPP033,43
COMP0244,Sensor-6067,COMP0344,32,4,PCB Assembly,Low,SUPP082,47
COMP0252,MOSFET-5930,COMP0355,86,2,Module,Low,SUPP099,39
COMP0034,Connector-6977,COMP0194,184,3,PCB Assembly,Low,SUPP084,42
COMP0402,Diode-4545,COMP0439,112,3,PCB Assembly,Medium,SUPP015,19
COMP0045,Resistor-4752,COMP0175,190,2,Raw Part,High,SUPP015,37
COMP0189,Capacitor-7939,COMP0161,98,2,Raw Part,High,SUPP008,38
COMP0275,Crystal-1090,COMP0199,109,2,Raw Part,Medium,SUPP087,51
COMP0065,MOSFET-8668,COMP0309,152,3,Sub-assembly,Medium,SUPP069,30
COMP0162,Diode-6147,COMP0483,76,2,PCB Assembly,Medium,SUPP059,10
COMP0308,MOSFET-7232,COMP0383,171,2,PCB Assembly,Low,SUPP005,39
COMP0164,IC-3144,COMP0353,32,2,Sub-assembly,Low,SUPP074,31
COMP0324,Capacitor-8022,COMP0254,75,4,PCB Assembly,Medium,SUPP043,10
COMP0424,Capacitor-1878,COMP0435,188,3,Module,Medium,SUPP095,4
COMP0473,Capacitor-8700,COMP0092,125,4,PCB Assembly,Medium,SUPP085,11
COMP0012,LED-9928,COMP0173,109,3,PCB Assembly,Low,SUPP097,26
COMP0201,Resistor-6050,ROOT,187,1,Sub-assembly,Medium,SUPP025,45
COMP0439,Inductor-1043,COMP0050,34,3,Raw Part,Low,SUPP007,46
COMP0156,IC-2964,COMP0084,148,3,Sub-assembly,Medium,SUPP038,10
COMP0108,Diode-2104,COMP0384,51,2,PCB Assembly,High,SUPP093,37
COMP0053,Inductor-5040,COMP0440,38,3,Raw Part,Low,SUPP087,11
COMP0475,Microcontroller-6260,ROOT,92,1,Cable Assembly,High,SUPP007,8
COMP0264,Capacitor-4848,COMP0304,112,3,Cable Assembly,Medium,SUPP052,16
COMP0018,Inductor-4527,COMP0204,126,2,Raw Part,Medium,SUPP023,42
COMP0382,Capacitor-4954,COMP0355,172,3,PCB Assembly,Low,SUPP084,25
COMP0141,Transistor-8454,COMP0228,95,3,Sub-assembly,High,SUPP016,32
COMP0329,Connector-6355,COMP0261,58,3,Sub-assembly,Medium,SUPP074,31
COMP0141,Transistor-8454,COMP0049,152,3,Sub-assembly,Medium,SUPP083,45
COMP0223,Transistor-6753,COMP0065,26,2,Raw Part,Low,SUPP069,12
COMP0208,Diode-3662,COMP0011,101,4,Raw Part,Medium,SUPP068,32
COMP0033,IC-5554,COMP0300,138,3,PCB Assembly,Low,SUPP016,49
COMP0386,Crystal-9041,COMP0338,31,2,Sub-assembly,Medium,SUPP024,1
COMP0285,Connector-9270,COMP0161,32,3,Sub-assembly,Medium,SUPP084,11
COMP0045,Resistor-4752,COMP0436,193,3,Sub-assembly,Low,SUPP065,20
COMP0187,Sensor-9004,COMP0088,109,4,Cable Assembly,Medium,SUPP032,20
COMP0024,Sensor-3045,COMP0266,76,4,PCB Assembly,Medium,SUPP074,32
COMP0356,IC-7071,COMP0467,91,2,Raw Part,Medium,SUPP089,7
COMP0340,MOSFET-3496,COMP0122,10,4,Sub-assembly,Medium,SUPP028,9
COMP0309,Connector-1096,COMP0303,92,3,Sub-assembly,Low,SUPP055,5
COMP0282,Inductor-8612,COMP0196,167,2,Module,Medium,SUPP011,17
COMP0347,Inductor-6096,COMP0356,37,3,Raw Part,High,SUPP094,18
COMP0325,Inductor-8564,COMP0099,183,3,Raw Part,Medium,SUPP066,39
COMP0084,Connector-1319,COMP0079,81,3,Cable Assembly,Medium,SUPP004,39
COMP0127,Sensor-8350,ROOT,32,1,Raw Part,Medium,SUPP053,5
COMP0169,Capacitor-9808,COMP0186,86,3,PCB Assembly,High,SUPP029,18
COMP0006,Capacitor-7912,COMP0497,57,2,Raw Part,High,SUPP016,12
COMP0270,Connector-7790,COMP0157,151,3,PCB Assembly,Medium,SUPP068,23
COMP0359,Resistor-7882,COMP0145,142,3,Sub-assembly,High,SUPP007,11
COMP0163,Diode-5351,COMP0200,47,4,Raw Part,Low,SUPP069,36
COMP0305,IC-2020,COMP0207,123,4,Raw Part,Medium,SUPP088,33
COMP0366,Crystal-5425,COMP0065,37,2,Raw Part,Low,SUPP007,47
COMP0328,Microcontroller-4467,COMP0363,200,4,Sub-assembly,Medium,SUPP091,30
COMP0094,Transistor-9645,COMP0182,120,3,Raw Part,Medium,SUPP055,34
COMP0483,Microcontroller-2899,COMP0473,59,3,Raw Part,Low,SUPP040,27
COMP0395,Microcontroller-8434,COMP0047,163,2,Sub-assembly,Low,SUPP012,11
COMP0295,Diode-5451,ROOT,191,1,Sub-assembly,Low,SUPP002,28
COMP0347,Inductor-6096,COMP0375,35,3,Raw Part,Medium,SUPP087,35
COMP0358,Crystal-6590,COMP0008,158,2,Sub-assembly,Low,SUPP001,46
COMP0218,Microcontroller-6000,COMP0384,89,3,Sub-assembly,Low,SUPP068,44
COMP0312,Sensor-9947,ROOT,115,1,Cable Assembly,Medium,SUPP098,34
COMP0463,MOSFET-5102,COMP0039,94,2,PCB Assembly,Medium,SUPP007,28
COMP0254,Resistor-5978,COMP0192,29,3,Raw Part,Medium,SUPP070,50
COMP0440,IC-8381,COMP0154,124,2,Sub-assembly,Medium,SUPP095,41
COMP0292,Crystal-4919,COMP0473,79,3,Module,Low,SUPP066,3
COMP0479,Transistor-7561,COMP0317,125,3,Sub-assembly,High,SUPP059,22
COMP0153,Inductor-2122,COMP0003,90,3,Module,High,SUPP046,1
COMP0052,Inductor-5339,COMP0102,22,3,Raw Part,Low,SUPP053,8
COMP0468,Inductor-8708,COMP0080,197,3,PCB Assembly,Medium,SUPP051,24
COMP0154,MOSFET-2113,COMP0457,47,3,Raw Part,Medium,SUPP057,43
COMP0430,Sensor-7232,COMP0072,91,3,PCB Assembly,High,SUPP091,13
COMP0057,Microcontroller-4593,COMP0021,35,2,Raw Part,Low,SUPP005,11
COMP0342,Connector-2874,COMP0246,171,2,Cable Assembly,High,SUPP063,36
COMP0254,Resistor-5978,COMP0366,33,4,Raw Part,Low,SUPP052,33
COMP0372,Connector-4995,COMP0432,100,4,Sub-assembly,Low,SUPP003,9
COMP0080,Inductor-7126,COMP0007,197,3,PCB Assembly,High,SUPP044,28
COMP0500,Capacitor-4681,COMP0005,112,3,Raw Part,Medium,SUPP011,49
COMP0220,Resistor-4164,COMP0079,187,2,Raw Part,Medium,SUPP099,8
COMP0443,Diode-5720,COMP0359,64,2,PCB Assembly,Medium,SUPP061,46
COMP0401,LED-4033,COMP0359,187,4,Raw Part,High,SUPP076,41
COMP0325,Inductor-8564,COMP0062,34,2,Raw Part,Medium,SUPP025,10
COMP0219,Diode-4652,ROOT,52,1,Sub-assembly,High,SUPP053,34
COMP0157,MOSFET-5033,COMP0119,57,3,Raw Part,Medium,SUPP066,28
COMP0330,Microcontroller-7211,ROOT,29,1,Sub-assembly,Medium,SUPP045,46
COMP0215,IC-1634,COMP0459,13,2,Sub-assembly,High,SUPP085,48
COMP0165,Crystal-5915,COMP0242,72,2,Module,High,SUPP024,17
COMP0486,Connector-7770,COMP0172,78,3,Sub-assembly,Medium,SUPP088,36
COMP0395,Microcontroller-8434,COMP0170,93,4,PCB Assembly,Medium,SUPP100,38
COMP0271,Crystal-4185,COMP0122,167,3,Sub-assembly,Medium,SUPP012,7
COMP0067,Sensor-1188,COMP0309,31,3,Sub-assembly,Low,SUPP084,13
COMP0099,IC-7118,COMP0474,26,3,Sub-assembly,Medium,SUPP044,20
COMP0372,Connector-4995,COMP0390,52,3,Raw Part,High,SUPP017,13
COMP0215,IC-1634,COMP0130,195,3,Module,Low,SUPP045,24
COMP0230,MOSFET-8119,COMP0061,112,3,Sub-assembly,Medium,SUPP065,51
COMP0012,LED-9928,COMP0141,179,2,Cable Assembly,Medium,SUPP073,4
COMP0407,Transistor-4727,COMP0098,190,4,PCB Assembly,Medium,SUPP069,33
COMP0498,Transistor-1224,ROOT,113,1,PCB Assembly,Medium,SUPP100,25
COMP0206,Microcontroller-7658,COMP0106,48,3,Sub-assembly,Medium,SUPP076,45
COMP0005,Crystal-9935,COMP0405,132,4,Raw Part,Low,SUPP068,17
COMP0156,IC-2964,COMP0152,182,4,Sub-assembly,High,SUPP029,3
COMP0274,Diode-3417,COMP0021,164,2,Sub-assembly,Low,SUPP018,18
COMP0448,IC-2880,COMP0329,64,4,Cable Assembly,Medium,SUPP015,1
COMP0333,Connector-1317,COMP0310,95,3,Raw Part,Low,SUPP071,17
COMP0370,Microcontroller-5022,COMP0460,157,2,Sub-assembly,Low,SUPP081,1
COMP0422,Capacitor-2070,COMP0375,72,3,Sub-assembly,Low,SUPP069,43
COMP0445,LED-8438,COMP0400,150,4,Sub-assembly,Low,SUPP049,42
COMP0132,Sensor-2604,COMP0325,155,4,Raw Part,Low,SUPP029,21
COMP0138,IC-1960,COMP0323,193,2,Raw Part,Medium,SUPP094,47
COMP0223,Transistor-6753,COMP0462,123,3,Sub-assembly,High,SUPP024,12
COMP0097,LED-4295,COMP0483,187,3,Sub-assembly,Medium,SUPP040,11
COMP0454,MOSFET-5728,COMP0202,176,2,Raw Part,High,SUPP010,28
COMP0126,Diode-4116,COMP0331,104,3,Sub-assembly,Medium,SUPP094,49
COMP0414,LED-3068,ROOT,26,1,Raw Part,High,SUPP002,49
COMP0426,MOSFET-5978,COMP0023,34,3,Sub-assembly,High,SUPP019,41
COMP0308,MOSFET-7232,ROOT,3,1,Cable Assembly,High,SUPP095,22
COMP0437,Inductor-4929,COMP0104,36,3,Raw Part,Medium,SUPP057,11
COMP0158,MOSFET-1651,COMP0080,63,3,Sub-assembly,Medium,SUPP081,35
COMP0064,IC-7252,ROOT,12,1,Sub-assembly,Medium,SUPP066,27
COMP0073,Connector-1053,ROOT,58,1,Sub-assembly,Medium,SUPP019,23
COMP0336,Diode-2124,COMP0472,176,2,Raw Part,Low,SUPP015,32
COMP0087,Resistor-4946,COMP0115,27,4,Cable Assembly,Medium,SUPP010,40
COMP0171,Transistor-3170,COMP0473,22,2,Module,Medium,SUPP023,28
COMP0272,LED-7291,COMP0093,174,3,Raw Part,Low,SUPP088,20
COMP0320,Connector-3091,COMP0179,27,4,Sub-assembly,Medium,SUPP048,17
COMP0416,Capacitor-1200,COMP0409,20,4,PCB Assembly,Low,SUPP020,50
COMP0336,Diode-2124,COMP0076,100,2,Raw Part,Low,SUPP062,5
COMP0058,Inductor-9348,COMP0492,187,3,Sub-assembly,High,SUPP017,12
COMP0393,Microcontroller-7971,COMP0164,127,3,Raw Part,Medium,SUPP053,39
COMP0407,Transistor-4727,COMP0071,168,3,Module,Medium,SUPP071,32
COMP0276,Capacitor-7965,COMP0273,138,3,PCB Assembly,Medium,SUPP075,46
COMP0216,Connector-4644,COMP0398,178,3,PCB Assembly,Medium,SUPP012,16
COMP0186,Diode-5325,ROOT,5,1,Raw Part,Medium,SUPP018,8
COMP0031,Transistor-2307,COMP0185,200,4,PCB Assembly,Medium,SUPP019,36
COMP0498,Transistor-1224,COMP0216,63,4,Sub-assembly,Medium,SUPP096,9
COMP0061,Inductor-3621,COMP0361,37,4,Raw Part,High,SUPP055,24
COMP0028,MOSFET-4150,COMP0340,149,3,Sub-assembly,Low,SUPP021,2
COMP0076,Sensor-2743,COMP0041,63,3,Sub-assembly,Medium,SUPP054,10
COMP0392,Connector-9698,COMP0381,36,2,PCB Assembly,Medium,SUPP039,31
COMP0211,LED-6442,COMP0228,166,3,PCB Assembly,Medium,SUPP020,4
COMP0452,Capacitor-1977,COMP0310,193,3,Sub-assembly,High,SUPP051,28
COMP0349,Transistor-7149,COMP0233,142,4,PCB Assembly,Medium,SUPP074,33
COMP0157,MOSFET-5033,COMP0217,41,3,Sub-assembly,High,SUPP049,9
COMP0381,Sensor-4130,COMP0317,15,2,Sub-assembly,High,SUPP096,36
COMP0310,Microcontroller-5892,COMP0419,178,4,Raw Part,Medium,SUPP083,26
COMP0424,Capacitor-1878,COMP0028,96,3,Raw Part,High,SUPP014,7
COMP0040,Sensor-5010,COMP0399,86,3,Sub-assembly,Medium,SUPP070,7
COMP0034,Connector-6977,COMP0006,194,2,Module,High,SUPP026,41
COMP0476,Crystal-2713,ROOT,69,1,Sub-assembly,Medium,SUPP006,37
COMP0405,MOSFET-5636,COMP0025,81,3,Sub-assembly,Medium,SUPP046,49
COMP0145,Transistor-4566,COMP0257,50,4,Raw Part,Medium,SUPP046,9
COMP0360,Connector-2729,COMP0170,105,3,Module,Medium,SUPP065,52
COMP0397,Transistor-4777,COMP0301,98,2,Raw Part,Low,SUPP005,19
COMP0083,MOSFET-6310,COMP0238,21,2,Module,High,SUPP092,15
COMP0453,Inductor-6039,COMP0349,168,2,Sub-assembly,Low,SUPP065,34
COMP0374,Microcontroller-1470,COMP0268,197,3,Raw Part,Low,SUPP044,19
COMP0185,LED-6617,COMP0482,111,3,Sub-assembly,Low,SUPP088,25
COMP0123,Resistor-7596,COMP0313,156,2,Sub-assembly,High,SUPP081,32
COMP0050,Diode-9179,COMP0074,197,4,Module,Medium,SUPP012,32
COMP0049,MOSFET-6155,COMP0087,76,3,Sub-assembly,Medium,SUPP047,23
COMP0046,Resistor-6168,ROOT,182,1,PCB Assembly,Medium,SUPP061,17
COMP0391,Transistor-7046,COMP0333,36,4,Module,Low,SUPP063,3
COMP0187,Sensor-9004,COMP0206,105,4,Module,Low,SUPP017,29
COMP0188,Transistor-1832,COMP0320,81,3,Raw Part,Medium,SUPP065,29
COMP0135,Diode-3724,COMP0350,11,4,Raw Part,Medium,SUPP095,51
COMP0126,Diode-4116,COMP0288,3,3,Sub-assembly,High,SUPP049,11
COMP0292,Crystal-4919,COMP0038,58,3,Raw Part,Medium,SUPP012,23
COMP0239,Microcontroller-8066,COMP0274,120,3,Sub-assembly,High,SUPP014,26
COMP0394,LED-6419,COMP0206,85,3,Sub-assembly,Medium,SUPP078,32
COMP0109,Resistor-6413,COMP0244,30,3,Sub-assembly,High,SUPP020,31
COMP0075,Sensor-3927,COMP0164,146,3,Sub-assembly,Medium,SUPP049,4
COMP0480,Sensor-1601,COMP0405,111,4,Cable Assembly,Medium,SUPP028,2
COMP0488,Sensor-6927,COMP0217,70,4,Sub-assembly,High,SUPP019,5
COMP0141,Transistor-8454,COMP0153,183,3,Raw Part,Medium,SUPP028,43
COMP0458,Transistor-9199,COMP0426,14,2,Sub-assembly,Low,SUPP044,49
COMP0153,Inductor-2122,COMP0179,108,2,Raw Part,Medium,SUPP021,45
COMP0224,Crystal-9346,COMP0355,147,3,Raw Part,High,SUPP077,13
COMP0040,Sensor-5010,COMP0297,158,3,Sub-assembly,Medium,SUPP094,48
COMP0423,IC-9056,COMP0163,4,3,Sub-assembly,Medium,SUPP019,32
COMP0443,Diode-5720,COMP0406,173,2,Raw Part,Medium,SUPP001,29
COMP0483,Microcontroller-2899,COMP0065,163,4,Raw Part,Low,SUPP013,3
COMP0112,Crystal-8953,COMP0097,108,3,PCB Assembly,Low,SUPP077,25
COMP0111,Diode-5562,COMP0488,49,3,Cable Assembly,Medium,SUPP002,24
COMP0417,MOSFET-5658,COMP0155,79,3,Raw Part,Low,SUPP090,32
COMP0333,Connector-1317,COMP0212,106,4,Raw Part,Low,SUPP055,34
COMP0499,Sensor-7684,COMP0059,46,4,Raw Part,Medium,SUPP071,39
COMP0084,Connector-1319,COMP0196,73,3,PCB Assembly,Medium,SUPP056,41
COMP0146,Resistor-9883,COMP0481,26,3,Cable Assembly,Low,SUPP014,6
COMP0333,Connector-1317,ROOT,106,1,Sub-assembly,Low,SUPP080,35
COMP0052,Inductor-5339,COMP0258,149,3,PCB Assembly,Medium,SUPP054,14
COMP0115,Diode-8749,COMP0283,98,4,Sub-assembly,Low,SUPP016,23
COMP0496,Crystal-4920,COMP0238,106,4,Module,Medium,SUPP095,26
COMP0004,Inductor-2679,COMP0401,58,4,Raw Part,Medium,SUPP085,17
COMP0158,MOSFET-1651,COMP0408,107,4,PCB Assembly,High,SUPP054,3
COMP0008,Capacitor-4582,ROOT,96,1,PCB Assembly,Medium,SUPP095,39
COMP0163,Diode-5351,COMP0492,147,3,Cable Assembly,Medium,SUPP051,13
COMP0316,Connector-1475,COMP0425,14,3,PCB Assembly,Medium,SUPP017,41
COMP0200,IC-3088,COMP0089,104,4,Module,Medium,SUPP056,15
COMP0051,IC-8517,COMP0065,130,3,Sub-assembly,Medium,SUPP051,49
COMP0322,Resistor-7455,COMP0429,142,4,Sub-assembly,Medium,SUPP012,6
COMP0014,Connector-5557,COMP0322,198,3,Raw Part,High,SUPP091,35
COMP0472,Crystal-9056,COMP0293,98,4,Sub-assembly,Low,SUPP059,41
COMP0324,Capacitor-8022,COMP0096,62,4,PCB Assembly,Medium,SUPP025,35
COMP0431,Connector-8253,COMP0400,97,2,PCB Assembly,Medium,SUPP036,6
COMP0479,Transistor-7561,COMP0012,164,2,Cable Assembly,Low,SUPP015,30
COMP0475,Microcontroller-6260,COMP0055,37,3,Sub-assembly,Low,SUPP012,5
COMP0254,Resistor-5978,COMP0468,54,4,Raw Part,Medium,SUPP003,27
COMP0038,LED-2169,COMP0321,20,3,Sub-assembly,Medium,SUPP041,41
COMP0466,Crystal-5415,COMP0083,47,3,Sub-assembly,Low,SUPP085,37
COMP0324,Capacitor-8022,COMP0017,31,3,Cable Assembly,Low,SUPP062,40
COMP0308,MOSFET-7232,COMP0082,134,3,PCB Assembly,Low,SUPP025,39
COMP0016,LED-7924,COMP0266,132,3,PCB Assembly,Medium,SUPP047,8
COMP0461,MOSFET-1653,COMP0168,36,2,Sub-assembly,Low,SUPP017,18
COMP0141,Transistor-8454,COMP0489,24,3,Raw Part,Medium,SUPP038,30
COMP0382,Capacitor-4954,COMP0224,132,4,Module,Low,SUPP033,12
COMP0102,Diode-4681,COMP0455,184,3,Sub-assembly,Medium,SUPP075,51
COMP0393,Microcontroller-7971,COMP0085,53,3,Cable Assembly,Medium,SUPP058,28
COMP0306,Diode-7883,COMP0418,82,3,Raw Part,Medium,SUPP055,13
COMP0291,Sensor-8939,COMP0460,162,3,PCB Assembly,Medium,SUPP005,33
COMP0130,Connector-5092,COMP0151,155,3,PCB Assembly,Medium,SUPP068,23
COMP0204,Crystal-5088,ROOT,47,1,PCB Assembly,Medium,SUPP024,23
COMP0126,Diode-4116,ROOT,169,1,Raw Part,High,SUPP041,8
COMP0005,Crystal-9935,COMP0006,184,2,Raw Part,Medium,SUPP042,15
COMP0288,LED-8777,ROOT,73,1,Raw Part,Medium,SUPP014,36
COMP0143,LED-8973,COMP0485,172,3,Sub-assembly,Low,SUPP054,44
COMP0388,Capacitor-5820,COMP0417,82,3,Sub-assembly,High,SUPP064,32
COMP0024,Sensor-3045,COMP0216,31,4,Sub-assembly,High,SUPP042,38
COMP0197,LED-3442,COMP0011,73,2,Sub-assembly,Low,SUPP074,1
COMP0467,MOSFET-1659,COMP0068,104,3,Sub-assembly,Medium,SUPP068,3
COMP0173,Diode-7054,COMP0036,121,3,Sub-assembly,Low,SUPP093,20
COMP0141,Transistor-8454,COMP0178,103,2,Sub-assembly,Low,SUPP064,40
COMP0025,IC-2291,COMP0357,117,3,Raw Part,Medium,SUPP016,24
COMP0481,Connector-2442,COMP0015,58,3,Sub-assembly,High,SUPP014,21
COMP0442,Transistor-1534,COMP0224,58,3,Sub-assembly,High,SUPP048,35
COMP0003,Diode-4657,COMP0445,14,4,Sub-assembly,Low,SUPP015,4
COMP0485,Resistor-9889,COMP0136,85,2,PCB Assembly,Low,SUPP049,18
COMP0358,Crystal-6590,COMP0071,150,2,Raw Part,High,SUPP019,49
COMP0300,LED-3503,COMP0495,106,4,Raw Part,Medium,SUPP067,34
COMP0124,LED-6559,COMP0339,126,3,Cable Assembly,Medium,SUPP094,31
COMP0116,IC-4119,COMP0393,76,2,PCB Assembly,Medium,SUPP032,43
COMP0332,Transistor-2341,COMP0106,178,3,Sub-assembly,Low,SUPP008,14
COMP0007,Resistor-1488,COMP0240,99,3,Sub-assembly,High,SUPP027,38
COMP0390,LED-4986,COMP0440,81,3,PCB Assembly,Medium,SUPP059,42
COMP0079,MOSFET-4258,COMP0055,34,4,Sub-assembly,Medium,SUPP058,40
COMP0263,Crystal-6491,COMP0205,49,2,Sub-assembly,Medium,SUPP088,20
COMP0488,Sensor-6927,COMP0332,27,4,Sub-assembly,Low,SUPP096,8
COMP0124,LED-6559,ROOT,118,1,Sub-assembly,High,SUPP085,34
COMP0232,IC-9379,COMP0061,141,3,Sub-assembly,Medium,SUPP020,26
COMP0258,Connector-4501,COMP0171,14,3,Raw Part,Medium,SUPP007,42
COMP0196,Capacitor-2232,COMP0217,50,3,Sub-assembly,Medium,SUPP077,18
COMP0272,LED-7291,COMP0266,111,3,Sub-assembly,High,SUPP032,8
COMP0113,Diode-9834,COMP0459,10,2,Raw Part,Medium,SUPP069,7
COMP0142,Transistor-7930,COMP0318,180,2,PCB Assembly,Medium,SUPP013,15
COMP0376,Inductor-8988,COMP0355,69,4,Raw Part,High,SUPP027,23
COMP0327,Transistor-7211,COMP0306,74,2,PCB Assembly,High,SUPP065,45
COMP0319,LED-3704,COMP0157,177,3,Sub-assembly,Medium,SUPP009,11
COMP0096,Diode-9835,COMP0234,37,3,Cable Assembly,Medium,SUPP055,22
COMP0011,Sensor-4257,COMP0136,20,2,Sub-assembly,Low,SUPP002,39
COMP0181,Capacitor-2753,COMP0299,1,4,Raw Part,Medium,SUPP015,3
COMP0420,Inductor-1841,ROOT,175,1,Cable Assembly,Low,SUPP068,33
COMP0086,Transistor-4923,COMP0397,25,4,Sub-assembly,Low,SUPP043,29
COMP0252,MOSFET-5930,COMP0280,66,3,PCB Assembly,Medium,SUPP059,1
COMP0424,Capacitor-1878,COMP0364,86,3,Module,Low,SUPP077,31
COMP0058,Inductor-9348,COMP0266,187,2,Raw Part,High,SUPP053,15
COMP0338,Resistor-5051,COMP0183,128,4,Sub-assembly,Medium,SUPP090,28
COMP0185,LED-6617,COMP0046,50,2,Module,Medium,SUPP014,18
COMP0450,Crystal-3441,COMP0279,116,3,Cable Assembly,Low,SUPP023,17
COMP0467,MOSFET-1659,COMP0455,85,3,Raw Part,Medium,SUPP036,20
COMP0098,LED-6107,ROOT,134,1,PCB Assembly,Low,SUPP016,28
COMP0408,Microcontroller-3939,COMP0496,89,3,Sub-assembly,Low,SUPP064,44
COMP0076,Sensor-2743,COMP0077,134,3,Cable Assembly,Medium,SUPP086,11
COMP0156,IC-2964,COMP0034,76,3,Sub-assembly,High,SUPP037,38
COMP0064,IC-7252,ROOT,79,1,Sub-assembly,Medium,SUPP001,4
COMP0129,Inductor-5563,COMP0450,73,2,PCB Assembly,Medium,SUPP099,36
COMP0080,Inductor-7126,COMP0366,70,4,Sub-assembly,Low,SUPP056,38
COMP0471,MOSFET-8141,COMP0113,9,2,Raw Part,Medium,SUPP087,41
COMP0198,Sensor-1590,COMP0496,26,3,Module,Low,SUPP077,20
COMP0089,Capacitor-8962,COMP0348,83,3,PCB Assembly,High,SUPP099,13
COMP0129,Inductor-5563,COMP0284,52,2,Raw Part,High,SUPP073,41
COMP0237,Resistor-9518,COMP0193,112,3,Sub-assembly,Medium,SUPP089,21
COMP0258,Connector-4501,COMP0365,92,4,Raw Part,Medium,SUPP054,27
COMP0237,Resistor-9518,ROOT,144,1,Sub-assembly,Low,SUPP012,49
COMP0072,IC-3591,COMP0155,63,3,Raw Part,Medium,SUPP080,35
COMP0461,MOSFET-1653,COMP0151,14,3,PCB Assembly,Medium,SUPP052,43
COMP0004,Inductor-2679,COMP0391,133,3,Raw Part,High,SUPP008,18
COMP0425,Inductor-3444,COMP0055,86,4,Raw Part,Low,SUPP073,31
COMP0354,MOSFET-1672,COMP0032,32,3,PCB Assembly,Medium,SUPP095,46
COMP0028,MOSFET-4150,COMP0265,37,3,Raw Part,Low,SUPP018,15
COMP0459,Sensor-9090,COMP0437,40,3,Raw Part,Medium,SUPP001,52
COMP0249,Diode-7888,COMP0103,30,3,Sub-assembly,High,SUPP016,34
COMP0050,Diode-9179,COMP0054,122,2,Sub-assembly,Medium,SUPP051,4
COMP0475,Microcontroller-6260,COMP0208,124,2,Cable Assembly,Low,SUPP070,17
COMP0421,Transistor-8827,COMP0225,169,3,Raw Part,Medium,SUPP082,2
COMP0095,MOSFET-7932,COMP0382,169,2,Sub-assembly,Medium,SUPP090,35
COMP0103,Capacitor-6539,COMP0149,75,3,PCB Assembly,Low,SUPP064,24
COMP0342,Connector-2874,COMP0198,179,2,PCB Assembly,Medium,SUPP055,10
COMP0015,Resistor-3615,COMP0062,145,2,Raw Part,Medium,SUPP005,42
COMP0334,LED-9837,COMP0318,114,4,Sub-assembly,Low,SUPP018,30
COMP0452,Capacitor-1977,COMP0142,3,3,Cable Assembly,Medium,SUPP065,14
COMP0179,Crystal-2697,COMP0269,100,4,Raw Part,High,SUPP020,23
COMP0336,Diode-2124,COMP0174,118,3,PCB Assembly,Low,SUPP036,51
COMP0391,Transistor-7046,COMP0473,101,3,Sub-assembly,Low,SUPP062,25
COMP0493,Inductor-5719,COMP0338,47,3,Raw Part,Low,SUPP100,43
COMP0270,Connector-7790,COMP0358,83,2,Raw Part,Medium,SUPP075,40
COMP0425,Inductor-3444,COMP0024,8,3,Module,High,SUPP013,43
COMP0055,Transistor-8019,COMP0348,122,3,Raw Part,Medium,SUPP099,52
COMP0470,Transistor-3973,COMP0122,27,3,Module,High,SUPP050,49
COMP0499,Sensor-7684,COMP0033,16,3,Raw Part,High,SUPP096,5
COMP0227,Capacitor-5279,COMP0311,162,4,PCB Assembly,Low,SUPP042,7
COMP0358,Crystal-6590,COMP0069,164,3,Raw Part,High,SUPP033,32
COMP0225,IC-9785,COMP0116,52,3,PCB Assembly,Medium,SUPP068,52
COMP0405,MOSFET-5636,COMP0299,7,2,Raw Part,Medium,SUPP027,3
