Risk ID,Supplier ID,Risk Type (Shortage / Delay / Shutdown),Severity Level (High/Medium/Low),Probability of Occurrence,Date of Risk Event,Affected Component ID,Expected Recovery Time
RISK01187,SUPP055,Shutdown,Low,0.29,2022-02-05,COMP0080,115 days
RISK01188,SUPP066,Shutdown,High,0.63,2024-10-08,COMP0339,59 days
RISK01189,SUPP078,Shortage,Medium,0.32,2024-04-15,COMP0065,50 days
RISK01190,SUPP005,Shortage,Low,0.19,2025-04-30,COMP0393,45 days
RISK01191,SUPP085,Delay,Medium,0.37,2024-04-17,COMP0076,13 days
RISK01192,SUPP084,Shortage,Medium,0.85,2025-11-18,COMP0302,139 days
RISK01193,SUPP028,Shortage,Medium,0.65,2025-05-24,COMP0403,169 days
RISK01194,SUPP097,Shutdown,High,0.77,2021-02-20,COMP0231,77 days
RISK01195,SUPP016,Delay,High,0.94,2023-06-06,COMP0406,35 days
RISK01196,SUPP049,Shortage,High,0.51,2020-10-25,COMP0478,51 days
RISK01197,SUPP022,Shutdown,Medium,0.53,2022-06-19,COMP0037,90 days
RISK01198,SUPP044,Shortage,Medium,0.15,2023-12-28,COMP0251,120 days
RISK01199,SUPP042,Shortage,Medium,0.49,2025-04-28,COMP0083,91 days
RISK01200,SUPP093,Shutdown,Low,0.72,2020-10-15,COMP0318,71 days
RISK01201,SUPP097,Shortage,Medium,0.71,2023-11-15,COMP0003,28 days
RISK01202,SUPP013,Shortage,Low,0.33,2025-06-05,COMP0128,129 days
RISK01203,SUPP016,Shutdown,High,0.37,2024-02-15,COMP0132,10 days
RISK01204,SUPP046,Shutdown,Medium,0.35,2020-09-05,COMP0207,112 days
RISK01205,SUPP082,Shortage,Low,0.86,2024-01-29,COMP0147,122 days
RISK01206,SUPP081,Shutdown,High,0.63,2025-03-17,COMP0124,46 days
RISK01207,SUPP004,Delay,High,0.29,2022-05-21,COMP0045,171 days
RISK01208,SUPP077,Shortage,High,0.1,2023-10-27,COMP0037,112 days
RISK01209,SUPP051,Delay,High,0.47,2021-11-10,COMP0030,152 days
RISK01210,SUPP084,Shortage,Medium,0.49,2023-11-23,COMP0481,108 days
RISK01211,SUPP098,Shutdown,Medium,0.3,2020-02-24,COMP0151,169 days
RISK01212,SUPP084,Delay,Low,0.06,2024-04-18,COMP0304,152 days
RISK01213,SUPP062,Delay,Medium,0.86,2021-03-09,COMP0038,149 days
RISK01214,SUPP031,Delay,Medium,0.39,2023-11-28,COMP0101,21 days
RISK01215,SUPP049,Shortage,Medium,0.2,2022-10-15,COMP0125,72 days
RISK01216,SUPP001,Shortage,Low,0.47,2023-11-24,COMP0065,104 days
RISK01217,SUPP009,Delay,Medium,0.24,2021-09-13,COMP0073,151 days
RISK01218,SUPP022,Shortage,High,0.77,2024-01-28,COMP0478,97 days
RISK01219,SUPP042,Delay,Medium,0.16,2025-12-30,COMP0053,120 days
RISK01220,SUPP090,Shortage,Medium,0.18,2025-06-15,COMP0117,145 days
RISK01221,SUPP092,Shortage,Medium,0.08,2024-03-05,COMP0333,69 days
RISK01222,SUPP004,Delay,Low,0.64,2020-07-26,COMP0240,64 days
RISK01223,SUPP028,Shortage,Medium,0.41,2021-05-03,COMP0249,169 days
RISK01224,SUPP083,Delay,Medium,0.87,2021-05-28,COMP0202,73 days
RISK01225,SUPP082,Delay,Medium,0.9,2024-01-31,COMP0120,146 days
RISK01226,SUPP092,Delay,Low,0.91,2023-05-21,COMP0401,128 days
RISK01227,SUPP081,Shortage,Medium,0.11,2025-05-09,COMP0401,88 days
RISK01228,SUPP028,Shortage,High,0.68,2021-08-20,COMP0015,158 days
RISK01229,SUPP085,Delay,Low,0.88,2023-08-13,COMP0058,148 days
RISK01230,SUPP055,Shutdown,Medium,0.34,2020-10-25,COMP0226,6 days
RISK01231,SUPP089,Shortage,High,0.81,2024-06-19,COMP0236,143 days
RISK01232,SUPP042,Shortage,Medium,0.92,2021-12-22,COMP0280,97 days
RISK01233,SUPP022,Shortage,Medium,0.04,2022-01-02,COMP0260,139 days
RISK01234,SUPP038,Shortage,Medium,0.81,2024-05-11,COMP0448,8 days
RISK01235,SUPP084,Shortage,High,0.3,2020-03-16,COMP0087,161 days
RISK01236,SUPP011,Shortage,Medium,0.58,2025-01-01,COMP0063,9 days
RISK01237,SUPP099,Shortage,Medium,0.89,2020-11-13,COMP0290,142 days
RISK01238,SUPP011,Delay,Low,0.53,2024-10-25,COMP0488,92 days
RISK01239,SUPP022,Delay,Low,0.14,2022-03-13,COMP0218,179 days
RISK01240,SUPP012,Shutdown,Medium,0.91,2024-09-21,COMP0483,64 days
RISK01241,SUPP073,Shortage,Low,0.85,2023-03-27,COMP0268,147 days
RISK01242,SUPP065,Delay,Medium,0.05,2025-06-20,COMP0237,167 days
RISK01243,SUPP018,Delay,Medium,0.47,2024-03-28,COMP0378,80 days
RISK01244,SUPP011,Delay,Low,0.76,2020-12-13,COMP0461,113 days
RISK01245,SUPP045,Shortage,Medium,0.57,2020-02-11,COMP0378,177 days
RISK01246,SUPP038,Shortage,Medium,0.11,2025-09-18,COMP0052,113 days
RISK01247,SUPP088,Shortage,High,0.28,2021-04-14,COMP0417,104 days
RISK01248,SUPP087,Delay,Low,0.33,2020-02-24,COMP0111,65 days
RISK01249,SUPP064,Delay,Low,0.19,2021-07-28,COMP0204,27 days
RISK01250,SUPP020,Delay,Medium,0.23,2020-02-09,COMP0177,159 days
RISK01251,SUPP091,Delay,Medium,0.27,2024-10-19,COMP0273,160 days
RISK01252,SUPP062,Delay,Medium,0.67,2024-04-21,COMP0214,132 days
RISK01253,SUPP025,Shortage,High,0.03,2025-02-01,COMP0410,114 days
RISK01254,SUPP045,Shortage,Medium,0.74,2023-08-14,COMP0031,163 days
RISK01255,SUPP068,Shutdown,Medium,0.76,2020-10-07,COMP0195,55 days
RISK01256,SUPP041,Shortage,Medium,0.17,2020-05-26,COMP0181,67 days
RISK01257,SUPP053,Delay,Low,0.37,2021-12-18,COMP0440,24 days
RISK01258,SUPP003,Shortage,Medium,0.15,2022-07-13,COMP0008,27 days
RISK01259,SUPP079,Shortage,Medium,0.34,2023-04-26,COMP0394,62 days
RISK01260,SUPP073,Shutdown,High,0.39,2023-12-31,COMP0108,55 days
RISK01261,SUPP045,Shutdown,High,0.64,2020-04-11,COMP0015,73 days
RISK01262,SUPP020,Delay,Medium,0.15,2021-05-04,COMP0363,104 days
RISK01263,SUPP091,Delay,High,0.8,2020-07-28,COMP0282,167 days
RISK01264,SUPP003,Delay,High,0.56,2024-11-26,COMP0123,51 days
RISK01265,SUPP045,Shortage,Medium,0.92,2025-06-29,COMP0031,53 days
RISK01266,SUPP051,Delay,Medium,0.16,2022-04-06,COMP0477,28 days
RISK01267,SUPP033,Delay,Medium,0.2,2021-12-19,COMP0343,34 days
RISK01268,SUPP084,Shortage,Medium,0.12,2024-11-26,COMP0303,154 days
RISK01269,SUPP069,Shortage,High,0.58,2021-11-09,COMP0012,110 days
RISK01270,SUPP083,Shutdown,Medium,0.65,2023-04-15,COMP0336,41 days
RISK01271,SUPP046,Delay,Medium,0.24,2024-04-18,COMP0222,9 days
RISK01272,SUPP039,Shortage,Low,0.65,2020-12-25,COMP0444,55 days
RISK01273,SUPP066,Shutdown,Medium,0.55,2021-07-13,COMP0417,3 days
RISK01274,SUPP077,Shutdown,Medium,0.37,2022-01-02,COMP0073,35 days
RISK01275,SUPP054,Delay,Low,0.46,2023-01-10,COMP0178,105 days
RISK01276,SUPP042,Shutdown,Medium,0.77,2021-07-16,COMP0051,103 days
RISK01277,SUPP017,Shortage,Low,0.3,2025-07-12,COMP0361,3 days
RISK01278,SUPP013,Delay,Medium,0.75,2021-01-24,COMP0171,27 days
RISK01279,SUPP045,Delay,Medium,0.52,2020-01-16,COMP0104,49 days
RISK01280,SUPP076,Delay,High,0.33,2025-07-12,COMP0213,168 days
RISK01281,SUPP011,Shortage,Low,0.06,2020-08-12,COMP0107,88 days
RISK01282,SUPP080,Shortage,Medium,0.67,2025-12-29,COMP0187,105 days
RISK01283,SUPP036,Delay,Low,0.73,2022-05-05,COMP0117,8 days
RISK01284,SUPP029,Delay,High,0.63,2024-07-28,COMP0001,140 days
RISK01285,SUPP039,Shutdown,Medium,0.84,2021-12-11,COMP0477,41 days
RISK01286,SUPP001,Shortage,High,0.05,2025-03-20,COMP0002,11 days
RISK01287,SUPP083,Delay,Low,0.46,2022-04-07,COMP0105,161 days
RISK01288,SUPP094,Delay,Medium,0.81,2022-07-30,COMP0390,156 days
RISK01289,SUPP073,Delay,Medium,0.03,2024-06-26,COMP0386,63 days
RISK01290,SUPP032,Delay,High,0.8,2020-02-03,COMP0140,76 days
RISK01291,SUPP044,Delay,Medium,0.46,2023-08-02,COMP0162,99 days
RISK01292,SUPP023,Shutdown,Medium,0.15,2024-12-17,COMP0210,20 days
RISK01293,SUPP049,Shortage,Low,0.06,2023-02-03,COMP0091,59 days
RISK01294,SUPP007,Shutdown,High,0.68,2022-07-29,COMP0076,59 days
RISK01295,SUPP089,Shutdown,Medium,0.56,2020-06-18,COMP0355,166 days
RISK01296,SUPP020,Delay,Medium,0.66,2022-06-02,COMP0446,92 days
RISK01297,SUPP045,Shutdown,High,0.53,2025-09-04,COMP0423,84 days
RISK01298,SUPP066,Shortage,Low,0.47,2021-10-12,COMP0250,27 days
RISK01299,SUPP028,Delay,Medium,0.89,2022-11-06,COMP0100,46 days
RISK01300,SUPP082,Shortage,Medium,0.3,2024-11-10,COMP0241,124 days
RISK01301,SUPP072,Shutdown,Medium,0.02,2025-10-22,COMP0401,134 days
RISK01302,SUPP056,Shutdown,Medium,0.69,2024-11-17,COMP0017,160 days
RISK01303,SUPP022,Shortage,Medium,0.88,2022-12-23,COMP0160,137 days
RISK01304,SUPP015,Shortage,High,0.15,2021-12-24,COMP0299,24 days
RISK01305,SUPP081,Delay,Medium,0.14,2023-09-05,COMP0001,15 days
RISK01306,SUPP040,Delay,High,0.59,2025-05-29,COMP0438,80 days
RISK01307,SUPP068,Shortage,High,0.56,2024-08-22,COMP0484,38 days
RISK01308,SUPP077,Delay,Medium,0.09,2022-07-10,COMP0044,129 days
RISK01309,SUPP043,Delay,Medium,0.46,2025-09-02,COMP0013,45 days
RISK01310,SUPP088,Delay,Medium,0.61,2020-01-30,COMP0007,89 days
RISK01311,SUPP080,Shortage,Medium,0.28,2020-11-26,COMP0463,66 days
RISK01312,SUPP062,Shortage,Low,0.76,2022-03-09,COMP0475,70 days
RISK01313,SUPP049,Delay,Medium,0.48,2024-06-22,COMP0112,37 days
RISK01314,SUPP041,Shutdown,High,0.18,2023-12-27,COMP0060,102 days
RISK01315,SUPP025,Delay,Medium,0.19,2025-09-03,COMP0240,140 days
RISK01316,SUPP019,Shortage,Medium,0.89,2024-02-10,COMP0014,85 days
RISK01317,SUPP028,Shortage,High,0.51,2022-12-29,COMP0454,36 days
RISK01318,SUPP097,Delay,Medium,0.71,2020-06-25,COMP0010,92 days
RISK01319,SUPP097,Shutdown,High,0.04,2025-05-21,COMP0424,49 days
RISK01320,SUPP037,Delay,Medium,0.93,2021-03-13,COMP0268,152 days
RISK01321,SUPP038,Shortage,High,0.13,2021-03-08,COMP0031,11 days
RISK01322,SUPP002,Delay,High,0.92,2025-06-25,COMP0500,26 days
RISK01323,SUPP085,Delay,Medium,0.88,2021-09-14,COMP0321,61 days
RISK01324,SUPP062,Shortage,High,0.1,2021-04-21,COMP0268,95 days
RISK01325,SUPP035,Shutdown,Low,0.59,2025-06-15,COMP0421,165 days
RISK01326,SUPP033,Shortage,High,0.93,2022-03-01,COMP0446,168 days
RISK01327,SUPP097,Shutdown,Medium,0.3,2021-07-07,COMP0200,170 days
RISK01328,SUPP054,Delay,Low,0.23,2025-12-21,COMP0147,130 days
RISK01329,SUPP063,Delay,Medium,0.38,2020-02-15,COMP0195,137 days
RISK01330,SUPP025,Delay,Medium,0.13,2020-11-25,COMP0393,33 days
RISK01331,SUPP023,Delay,Medium,0.6,2020-05-01,COMP0265,86 days
RISK01332,SUPP050,Shortage,Medium,0.84,2020-04-06,COMP0236,109 days
RISK01333,SUPP063,Shutdown,Low,0.71,2025-09-28,COMP0376,13 days
RISK01334,SUPP034,Delay,Medium,0.74,2020-04-12,COMP0044,11 days
RISK01335,SUPP045,Delay,Medium,0.71,2022-05-13,COMP0301,169 days
RISK01336,SUPP017,Shortage,Medium,0.02,2020-03-13,COMP0011,53 days
RISK01337,SUPP077,Shortage,Medium,0.62,2022-04-09,COMP0226,118 days
RISK01338,SUPP067,Delay,Medium,0.43,2022-08-12,COMP0175,94 days
RISK01339,SUPP057,Shutdown,High,0.57,2023-10-17,COMP0233,159 days
RISK01340,SUPP074,Delay,Medium,0.75,2020-05-01,COMP0456,151 days
RISK01341,SUPP058,Delay,Medium,0.36,2025-07-30,COMP0172,160 days
RISK01342,SUPP048,Shortage,Medium,0.35,2025-08-27,COMP0277,16 days
RISK01343,SUPP013,Delay,Medium,0.88,2020-02-22,COMP0283,35 days
RISK01344,SUPP018,Delay,Medium,0.66,2022-03-24,COMP0201,12 days
RISK01345,SUPP058,Delay,High,0.6,2025-01-22,COMP0395,90 days
RISK01346,SUPP096,Shortage,High,0.87,2025-12-25,COMP0262,45 days
RISK01347,SUPP078,Shortage,Low,0.87,2021-03-30,COMP0217,137 days
RISK01348,SUPP059,Shutdown,High,0.82,2025-08-28,COMP0436,11 days
RISK01349,SUPP039,Shutdown,Medium,0.1,2020-08-03,COMP0381,73 days
RISK01350,SUPP087,Shortage,High,0.89,2022-05-10,COMP0411,12 days
RISK01351,SUPP099,Shutdown,High,0.92,2022-12-09,COMP0089,91 days
RISK01352,SUPP070,Delay,High,0.12,2023-07-22,COMP0284,94 days
RISK01353,SUPP088,Delay,Low,0.55,2022-05-30,COMP0324,15 days
RISK01354,SUPP043,Delay,Medium,0.35,2020-09-26,COMP0262,88 days
RISK01355,SUPP074,Shortage,Medium,0.05,2022-11-22,COMP0439,131 days
RISK01356,SUPP007,Shortage,Medium,0.22,2022-09-19,COMP0012,55 days
RISK01357,SUPP024,Delay,Medium,0.87,2024-03-23,COMP0096,111 days
RISK01358,SUPP071,Shortage,Low,0.12,2022-04-27,COMP0173,17 days
RISK01359,SUPP095,Shortage,High,0.06,2022-05-03,COMP0071,98 days
RISK01360,SUPP001,Shutdown,Medium,0.73,2025-09-15,COMP0119,124 days
RISK01361,SUPP020,Shortage,Medium,0.02,2023-08-31,COMP0200,93 days
RISK01362,SUPP047,Shortage,Medium,0.5,2025-01-31,COMP0160,40 days
RISK01363,SUPP084,Shutdown,Low,0.84,2023-08-16,COMP0460,3 days
RISK01364,SUPP076,Shortage,Medium,0.17,2021-12-04,COMP0026,34 days
RISK01365,SUPP002,Shortage,High,0.73,2020-12-27,COMP0319,66 days
RISK01366,SUPP097,Shortage,Medium,0.09,2020-03-21,COMP0252,56 days
RISK01367,SUPP053,Delay,Medium,0.86,2024-10-18,COMP0377,24 days
RISK01368,SUPP100,Shortage,Medium,0.61,2025-01-26,COMP0149,26 days
RISK01369,SUPP091,Shortage,Medium,0.03,2023-07-06,COMP0327,64 days
RISK01370,SUPP011,Delay,Medium,0.04,2025-10-07,COMP0255,86 days
RISK01371,SUPP068,Shutdown,Medium,0.34,2020-08-06,COMP0184,159 days
RISK01372,SUPP096,Shortage,Medium,0.8,2024-11-06,COMP0200,84 days
RISK01373,SUPP067,Shortage,Medium,0.07,2023-01-21,COMP0092,114 days
RISK01374,SUPP079,Delay,Low,0.11,2023-03-31,COMP0287,44 days
RISK01375,SUPP033,Shortage,Medium,0.68,2025-10-05,COMP0017,180 days
RISK01376,SUPP072,Shortage,Medium,0.15,2025-06-08,COMP0383,153 days
RISK01377,SUPP025,Shortage,Low,0.76,2021-03-25,COMP0292,133 days
RISK01378,SUPP068,Shutdown,Medium,0.7,2025-08-22,COMP0206,46 days
RISK01379,SUPP062,Shutdown,High,0.59,2021-10-01,COMP0132,113 days
RISK01380,SUPP065,Delay,Low,0.35,2024-08-25,COMP0096,5 days
RISK01381,SUPP042,Shutdown,High,0.19,2025-12-19,COMP0500,39 days
RISK01382,SUPP079,Delay,Medium,0.38,2020-11-05,COMP0194,156 days
RISK01383,SUPP008,Shortage,Low,0.72,2024-10-12,COMP0121,71 days
RISK01384,SUPP056,Delay,Medium,0.37,2021-08-12,COMP0271,55 days
RISK01385,SUPP053,Delay,Medium,0.88,2023-12-02,COMP0136,113 days
RISK01386,SUPP087,Delay,Medium,0.17,2020-08-31,COMP0465,114 days
RISK01387,SUPP039,Shortage,Medium,0.53,2023-02-23,COMP0283,20 days
RISK01388,SUPP027,Shutdown,Medium,0.77,2021-05-31,COMP0187,144 days
RISK01389,SUPP096,Shortage,High,0.86,2022-10-04,COMP0030,165 days
RISK01390,SUPP087,Shortage,Low,0.47,2024-11-13,COMP0160,71 days
RISK01391,SUPP027,Shortage,High,0.64,2023-12-30,COMP0020,180 days
RISK01392,SUPP039,Shortage,Low,0.1,2025-08-11,COMP0196,111 days
RISK01393,SUPP023,Delay,Medium,0.7,2024-08-26,COMP0191,80 days
RISK01394,SUPP096,Delay,Medium,0.65,2025-06-13,COMP0188,153 days
RISK01395,SUPP056,Delay,High,0.7,2024-01-14,COMP0127,160 days
RISK01396,SUPP094,Delay,Medium,0.89,2020-09-11,COMP0292,114 days
RISK01397,SUPP082,Shutdown,High,0.82,2020-02-19,COMP0003,53 days
RISK01398,SUPP029,Delay,Medium,0.81,2021-11-05,COMP0359,151 days
RISK01399,SUPP033,Shortage,Low,0.27,2025-05-05,COMP0422,112 days
RISK01400,SUPP085,Shortage,Medium,0.77,2024-08-18,COMP0218,24 days
RISK01401,SUPP007,Delay,High,0.1,2020-04-23,COMP0349,119 days
RISK01402,SUPP019,Shortage,High,0.52,2023-08-05,COMP0212,2 days
RISK01403,SUPP054,Shortage,Medium,0.79,2022-08-19,COMP0324,41 days
RISK01404,SUPP055,Shortage,Medium,0.57,2024-05-26,COMP0350,99 days
RISK01405,SUPP076,Shortage,High,0.13,2020-01-19,COMP0326,153 days
RISK01406,SUPP082,Shortage,Low,0.77,2025-04-22,COMP0488,176 days
RISK01407,SUPP064,Shortage,Medium,0.36,2020-09-03,COMP0360,130 days
RISK01408,SUPP080,Shortage,Medium,0.31,2024-09-02,COMP0354,149 days
RISK01409,SUPP034,Shortage,Medium,0.11,2023-03-19,COMP0098,112 days
RISK01410,SUPP069,Delay,High,0.49,2022-11-27,COMP0355,69 days
RISK01411,SUPP072,Delay,Low,0.06,2024-04-27,COMP0281,34 days
RISK01412,SUPP100,Delay,High,0.04,2025-12-25,COMP0491,11 days
RISK01413,SUPP064,Shutdown,Low,0.61,2023-10-23,COMP0450,131 days
RISK01414,SUPP058,Shortage,Medium,0.61,2020-09-17,COMP0379,109 days
RISK01415,SUPP002,Delay,Low,0.41,2023-01-25,COMP0160,30 days
RISK01416,SUPP056,Shortage,Low,0.45,2024-11-22,COMP0030,1 days
RISK01417,SUPP030,Delay,Medium,0.91,2022-11-07,COMP0453,68 days
RISK01418,SUPP035,Shortage,Medium,0.64,2021-02-22,COMP0364,109 days
RISK01419,SUPP004,Delay,Low,0.62,2022-11-16,COMP0385,105 days
RISK01420,SUPP083,Shortage,Medium,0.03,2022-02-07,COMP0041,9 days
RISK01421,SUPP081,Shortage,Medium,0.57,2022-02-05,COMP0020,64 days
RISK01422,SUPP066,Delay,Low,0.3,2022-05-10,COMP0093,60 days
RISK01423,SUPP020,Delay,Medium,0.33,2022-05-27,COMP0032,83 days
RISK01424,SUPP021,Shutdown,Medium,0.89,2022-09-08,COMP0035,154 days
RISK01425,SUPP037,Delay,High,0.2,2024-06-06,COMP0225,71 days
RISK01426,SUPP076,Delay,High,0.06,2021-11-14,COMP0278,80 days
RISK01427,SUPP077,Delay,Low,0.62,2025-07-16,COMP0080,126 days
RISK01428,SUPP070,Delay,High,0.8,2022-12-31,COMP0304,34 days
RISK01429,SUPP017,Delay,Low,0.26,2022-10-07,COMP0326,162 days
RISK01430,SUPP096,Delay,Medium,0.13,2021-09-06,COMP0059,9 days
RISK01431,SUPP058,Delay,High,0.02,2025-11-17,COMP0400,92 days
RISK01432,SUPP089,Delay,High,0.64,2022-09-05,COMP0303,67 days
RISK01433,SUPP013,Delay,Low,0.3,2020-09-17,COMP0130,134 days
RISK01434,SUPP012,Shortage,Low,0.93,2025-01-14,COMP0411,128 days
RISK01435,SUPP027,Shutdown,Medium,0.9,2023-05-26,COMP0327,51 days
RISK01436,SUPP089,Shortage,Medium,0.25,2020-12-18,COMP0441,18 days
RISK01437,SUPP088,Delay,High,0.47,2023-03-21,COMP0367,48 days
RISK01438,SUPP019,Delay,High,0.16,2023-05-07,COMP0094,146 days
RISK01439,SUPP046,Shortage,Medium,0.71,2025-01-24,COMP0179,167 days
RISK01440,SUPP052,Delay,Low,0.38,2020-05-30,COMP0181,6 days
RISK01441,SUPP002,Shortage,High,0.07,2022-09-27,COMP0141,85 days
RISK01442,SUPP014,Shutdown,Low,0.03,2022-04-22,COMP0037,77 days
RISK01443,SUPP047,Delay,High,0.51,2022-09-23,COMP0405,54 days
RISK01444,SUPP095,Shortage,Low,0.51,2024-11-28,COMP0296,57 days
RISK01445,SUPP065,Shortage,High,0.07,2022-09-19,COMP0499,15 days
RISK01446,SUPP025,Delay,Medium,0.19,2020-01-22,COMP0277,162 days
RISK01447,SUPP007,Shutdown,Low,0.4,2023-12-20,COMP0384,102 days
RISK01448,SUPP030,Shortage,Medium,0.27,2024-03-31,COMP0087,28 days
RISK01449,SUPP086,Shortage,Medium,0.03,2024-09-25,COMP0476,112 days
RISK01450,SUPP006,Delay,Medium,0.25,2022-05-25,COMP0106,142 days
RISK01451,SUPP021,Shortage,Medium,0.5,2020-06-04,COMP0004,166 days
RISK01452,SUPP007,Shortage,Medium,0.2,2025-09-01,COMP0431,106 days
RISK01453,SUPP044,Delay,Medium,0.69,2025-11-07,COMP0313,32 days
RISK01454,SUPP096,Delay,Low,0.69,2023-08-19,COMP0354,131 days
RISK01455,SUPP074,Delay,Medium,0.62,2023-10-30,COMP0337,24 days
RISK01456,SUPP062,Delay,Medium,0.06,2024-11-11,COMP0157,17 days
RISK01457,SUPP022,Delay,Low,0.02,2023-03-24,COMP0335,54 days
RISK01458,SUPP030,Shortage,Medium,0.83,2023-10-19,COMP0402,149 days
RISK01459,SUPP042,Delay,Medium,0.8,2024-09-15,COMP0335,116 days
RISK01460,SUPP029,Shutdown,Medium,0.22,2023-12-25,COMP0131,129 days
RISK01461,SUPP022,Shutdown,Low,0.65,2024-02-09,COMP0466,175 days
RISK01462,SUPP070,Shortage,Low,0.75,2021-10-15,COMP0244,111 days
RISK01463,SUPP037,Shortage,Low,0.29,2020-03-14,COMP0004,92 days
RISK01464,SUPP047,Shortage,Medium,0.89,2022-10-19,COMP0099,80 days
RISK01465,SUPP015,Shortage,High,0.2,2021-03-15,COMP0219,41 days
RISK01466,SUPP053,Shortage,Medium,0.75,2021-11-24,COMP0236,7 days
RISK01467,SUPP014,Shortage,Medium,0.93,2025-06-07,COMP0342,96 days
RISK01468,SUPP041,Shutdown,High,0.64,2022-07-15,COMP0232,43 days
RISK01469,SUPP025,Shutdown,Low,0.18,2022-08-31,COMP0386,110 days
RISK01470,SUPP043,Delay,Medium,0.19,2023-12-25,COMP0429,109 days
RISK01471,SUPP085,Delay,Low,0.48,2025-12-02,COMP0475,164 days
RISK01472,SUPP066,Shortage,Medium,0.42,2025-02-04,COMP0162,140 days
RISK01473,SUPP027,Shortage,Low,0.03,2025-12-09,COMP0302,115 days
RISK01474,SUPP025,Shortage,High,0.35,2021-06-09,COMP0053,144 days
RISK01475,SUPP066,Shortage,High,0.77,2024-10-28,COMP0053,121 days
RISK01476,SUPP054,Delay,Medium,0.17,2023-07-19,COMP0199,98 days
RISK01477,SUPP056,Shortage,Low,0.18,2023-08-25,COMP0090,175 days
RISK01478,SUPP001,Delay,High,0.35,2024-11-01,COMP0246,152 days
RISK01479,SUPP080,Shortage,High,0.45,2021-06-30,COMP0451,61 days
RISK01480,SUPP038,Shutdown,Low,0.17,2025-07-31,COMP0314,91 days
RISK01481,SUPP079,Shutdown,Low,0.65,2020-05-11,COMP0196,162 days
RISK01482,SUPP062,Delay,Medium,0.58,2024-10-05,COMP0438,25 days
RISK01483,SUPP072,Delay,Low,0.89,2025-06-06,COMP0452,92 days
RISK01484,SUPP006,Shutdown,Medium,0.13,2020-12-13,COMP0021,157 days
RISK01485,SUPP070,Shortage,Low,0.66,2021-04-13,COMP0001,177 days
RISK01486,SUPP049,Delay,Medium,0.59,2025-07-21,COMP0057,40 days
RISK01487,SUPP041,Delay,High,0.46,2022-08-12,COMP0195,176 days
RISK01488,SUPP018,Shortage,High,0.85,2025-09-25,COMP0217,65 days
RISK01489,SUPP007,Shortage,Medium,0.53,2020-03-17,COMP0224,19 days
RISK01490,SUPP054,Shutdown,High,0.73,2021-04-11,COMP0318,71 days
RISK01491,SUPP004,Shortage,Low,0.83,2022-09-13,COMP0018,57 days
RISK01492,SUPP020,Shortage,Medium,0.61,2021-12-29,COMP0448,152 days
RISK01493,SUPP091,Shortage,Low,0.15,2024-07-24,COMP0492,27 days
RISK01494,SUPP004,Delay,Medium,0.05,2023-08-15,COMP0444,100 days
RISK01495,SUPP080,Shortage,Medium,0.81,2024-05-18,COMP0232,115 days
RISK01496,SUPP052,Delay,Low,0.94,2022-05-31,COMP0175,48 days
RISK01497,SUPP061,Shortage,High,0.46,2021-11-13,COMP0233,30 days
RISK01498,SUPP062,Shortage,Medium,0.06,2022-01-04,COMP0321,76 days
RISK01499,SUPP062,Shortage,High,0.74,2020-12-14,COMP0342,62 days
RISK01500,SUPP089,Delay,Low,0.03,2022-05-04,COMP0081,143 days
RISK01501,SUPP003,Shortage,Medium,0.65,2022-05-01,COMP0303,172 days
RISK01502,SUPP089,Shortage,Medium,0.15,2025-08-25,COMP0076,163 days
RISK01503,SUPP040,Shortage,Low,0.14,2023-10-28,COMP0381,90 days
RISK01504,SUPP017,Shortage,Low,0.33,2024-03-28,COMP0240,122 days
RISK01505,SUPP013,Delay,Low,0.75,2025-05-23,COMP0098,57 days
RISK01506,SUPP001,Delay,Medium,0.51,2021-06-23,COMP0307,17 days
RISK01507,SUPP009,Delay,High,0.04,2022-09-03,COMP0141,3 days
RISK01508,SUPP082,Delay,Medium,0.22,2021-03-18,COMP0043,141 days
RISK01509,SUPP088,Shortage,Medium,0.39,2024-07-06,COMP0179,32 days
RISK01510,SUPP075,Delay,High,0.63,2022-09-06,COMP0006,80 days
RISK01511,SUPP053,Shortage,Low,0.67,2025-02-06,COMP0331,151 days
RISK01512,SUPP027,Delay,High,0.66,2023-06-08,COMP0369,37 days
RISK01513,SUPP065,Shortage,High,0.25,2020-11-30,COMP0291,91 days
RISK01514,SUPP085,Shortage,Low,0.1,2022-11-21,COMP0308,109 days
RISK01515,SUPP036,Shutdown,Medium,0.35,2023-10-25,COMP0060,25 days
RISK01516,SUPP069,Shortage,Medium,0.73,2023-11-14,COMP0124,176 days
RISK01517,SUPP080,Shutdown,High,0.15,2023-03-23,COMP0441,27 days
RISK01518,SUPP096,Shortage,Medium,0.17,2025-07-22,COMP0070,108 days
RISK01519,SUPP059,Delay,Medium,0.83,2023-04-07,COMP0241,125 days
RISK01520,SUPP024,Delay,Low,0.85,2025-11-04,COMP0024,75 days
RISK01521,SUPP003,Delay,Medium,0.22,2024-06-17,COMP0301,12 days
RISK01522,SUPP053,Shortage,High,0.76,2021-05-12,COMP0262,17 days
RISK01523,SUPP006,Shortage,Medium,0.58,2025-03-30,COMP0064,178 days
RISK01524,SUPP069,Delay,High,0.89,2022-06-22,COMP0153,10 days
RISK01525,SUPP062,Shortage,Medium,0.89,2021-03-12,COMP0319,156 days
