Component ID,Component Name,Function Type,Voltage Rating (V),Current Rating (A),Power Rating (W),Resistance / Capacitance / Inductance,Frequency Range,Signal Type,Tolerance (%),Accuracy (%),Efficiency (%),Operating Speed,Operating Temperature Range,Storage Temperature,Thermal Resistance (°C/W),Package Type,Dimensions (L x W x H mm),Weight (g),Mounting Type,Material Type,Conductivity (S/m),Durability,RoHS Compliance,ISO Certification,Industry Standards
COMP0271,Crystal-4185,Frequency Reference / Timing,360.2,45.555,351.404,N/A,1 Hz – 1000 MHz,Power,0.1,91.91,93.6,32 MHz,-25°C to 175°C,-40°C to 150°C,110.6,QFN-48,36.59 x 22.91 x 1.52 mm,18.4018,THT,FR4 Laminate,2126504 S/m,Medium,Yes,ISO 14001:2015,UL 94V-0
COMP0321,MOSFET-9751,Switching / Power Control,489.4,18.133,371.984,N/A,100 Hz – 1 MHz,Digital,5.0,96.26,98.5,1 MHz,0°C to 85°C,-65°C to 105°C,7.3,SOT-23,12.5 x 22.16 x 3.09 mm,22.4317,SMT,Carbon Composition,6757784 S/m,High,Yes,ISO 14001:2015,IPC-2221
COMP0391,Transistor-7046,Switching / Amplification,445.3,45.968,273.094,N/A,1000 Hz – 10 MHz,RF,5.0,99.9,81.3,120 MHz,-40°C to 85°C,-55°C to 85°C,95.4,DIP-16,15.01 x 4.17 x 15.43 mm,80.9809,SMT,GaN,1041414 S/m,High,Yes,None,IPC-7711
COMP0174,Transistor-3584,Switching / Amplification,276.7,9.898,469.517,N/A,10 Hz – 1 MHz,RF,5.0,90.65,89.6,200 MHz,-25°C to 150°C,-40°C to 85°C,88.3,DIP-16,22.23 x 1.8 x 16.87 mm,51.3938,SMT,Film,101959 S/m,High,Yes,ISO 14001:2015,IEC 61000-4
COMP0149,MOSFET-8811,Switching / Power Control,539.2,28.961,364.914,N/A,1 Hz – 1000 MHz,Power,2.0,92.49,75.7,1000 MHz,-25°C to 70°C,-55°C to 125°C,85.9,TO-220,3.11 x 8.68 x 4.86 mm,87.3324,SMT,Ceramic,8257991 S/m,Medium,Yes,ISO 9001:2015,MIL-STD-810
COMP0362,Crystal-8532,Frequency Reference / Timing,312.9,48.823,394.958,N/A,1 Hz – 1000 MHz,Analog,10.0,93.77,76.2,1000 MHz,0°C to 85°C,-55°C to 85°C,78.2,QFP-64,38.45 x 29.46 x 2.38 mm,89.1087,Press-fit,SiC,2327205 S/m,High,Yes,IATF 16949,IPC-A-610
COMP0461,MOSFET-1653,Switching / Power Control,442.2,24.139,399.419,N/A,1 Hz – 1 MHz,Digital,2.0,94.11,74.6,100 MHz,-25°C to 150°C,-55°C to 85°C,107.9,SMD 1206,18.33 x 26.35 x 10.73 mm,52.6391,SMT,SiC,2343450 S/m,Medium,Yes,ISO 9001:2015,IPC-7711
COMP0145,Transistor-4566,Switching / Amplification,472.8,13.903,330.118,N/A,100 Hz – 1000 MHz,Analog,0.5,91.7,96.4,1 MHz,-55°C to 70°C,-65°C to 85°C,141.0,QFP-64,38.73 x 27.73 x 13.51 mm,34.0947,SMT,Ceramic,5509585 S/m,Medium,Yes,ISO 9001:2015,IEC 61000-4
COMP0147,Resistor-6138,Current Limiting / Voltage Division,231.5,6.583,429.771,1000 Ω,10 Hz – 100 MHz,Power,2.0,95.09,84.8,1 MHz,-55°C to 105°C,-65°C to 85°C,127.4,DIP-16,12.5 x 13.04 x 16.26 mm,39.9115,SMT,SiC,491598 S/m,Medium,Yes,None,MIL-STD-810
COMP0238,Sensor-4228,Signal Acquisition / Measurement,318.1,31.645,366.798,N/A,1000 Hz – 1000 MHz,Analog,5.0,90.77,87.9,200 MHz,-40°C to 105°C,-55°C to 150°C,112.2,TO-247,48.75 x 0.67 x 16.38 mm,74.2045,SMT,FR4 Laminate,2326710 S/m,High,Yes,ISO 9001:2015,MIL-STD-810
COMP0265,Crystal-6085,Frequency Reference / Timing,100.3,4.719,221.626,N/A,1 Hz – 100 MHz,Power,0.5,93.11,95.7,8 MHz,-25°C to 175°C,-65°C to 85°C,41.5,TO-92,15.8 x 17.14 x 10.7 mm,58.8705,THT,GaN,5626657 S/m,High,Yes,ISO 9001:2015,IPC-A-610
COMP0477,Inductor-6403,Energy Storage / EMI Filtering,56.5,22.58,357.786,730.4 µH,10 Hz – 10 MHz,Mixed-Signal,1.0,90.07,77.5,400 MHz,-25°C to 70°C,-40°C to 85°C,30.1,SMD 0402,11.12 x 13.47 x 7.84 mm,39.0198,SMT,Silicon,3871543 S/m,Low,Yes,IATF 16949,UL 94V-0
COMP0376,Inductor-8988,Energy Storage / EMI Filtering,161.9,20.689,438.854,538.5 µH,10 Hz – 1 MHz,Power,5.0,94.88,85.4,200 MHz,-55°C to 150°C,-65°C to 150°C,86.3,BGA-256,7.41 x 23.49 x 5.16 mm,25.61,SMT,GaN,4399892 S/m,Low,Yes,IATF 16949,MIL-STD-810
COMP0043,Crystal-4598,Frequency Reference / Timing,474.9,39.026,322.977,N/A,10 Hz – 1000 MHz,Digital,0.1,97.06,86.9,100 MHz,-55°C to 175°C,-55°C to 125°C,142.8,QFP-32,36.91 x 4.98 x 3.96 mm,89.4279,SMT,Ceramic,4389370 S/m,Medium,Yes,None,IPC-7711
COMP0125,Capacitor-5073,Energy Storage / Filtering,491.0,6.71,409.267,3730.7 µF,10 Hz – 100 MHz,Power,1.0,97.26,96.8,1000 MHz,-55°C to 105°C,-55°C to 85°C,117.0,TSSOP-20,18.63 x 13.86 x 16.56 mm,80.4031,SMT,GaN,3883361 S/m,High,Yes,ISO 45001:2018,IEC 61000-4
COMP0349,Transistor-7149,Switching / Amplification,258.1,19.753,325.878,N/A,1 Hz – 100 MHz,RF,0.1,99.7,93.8,16 MHz,-55°C to 125°C,-65°C to 85°C,78.6,DIP-8,1.38 x 10.33 x 10.58 mm,56.6722,SMT,Carbon Composition,4228199 S/m,Medium,Yes,IATF 16949,MIL-STD-810
COMP0186,Diode-5325,Rectification / ESD Protection,433.4,16.954,303.559,N/A,1000 Hz – 1 MHz,Mixed-Signal,0.1,97.11,96.6,32 MHz,-40°C to 105°C,-40°C to 125°C,80.6,QFN-48,26.03 x 2.25 x 8.68 mm,76.0002,Press-fit,Metal Film,7404545 S/m,High,Yes,ISO 45001:2018,JEDEC JESD22
COMP0144,Inductor-4111,Energy Storage / EMI Filtering,572.3,8.053,380.875,665.5 µH,1000 Hz – 100 MHz,Digital,0.5,98.25,73.6,1 MHz,-55°C to 175°C,-65°C to 105°C,135.2,QFP-100,28.48 x 6.75 x 11.35 mm,28.0576,SMT,Film,4900391 S/m,Medium,Yes,None,AEC-Q100
COMP0427,Capacitor-5066,Energy Storage / Filtering,441.7,44.672,370.174,3914.2 µF,1 Hz – 100 MHz,Analog,1.0,94.32,91.3,16 MHz,-25°C to 125°C,-40°C to 150°C,6.1,DIP-28,40.93 x 18.05 x 12.25 mm,61.0589,THT,FR4 Laminate,7354783 S/m,Medium,Yes,ISO 14001:2015,IPC-7711
COMP0310,Microcontroller-5892,Processing / Control,515.5,38.887,428.81,N/A,1 Hz – 10 MHz,Power,2.0,98.8,85.4,200 MHz,-40°C to 125°C,-65°C to 150°C,88.2,SOIC-16,4.44 x 21.1 x 7.84 mm,44.5081,SMT,Ceramic,4554708 S/m,Medium,Yes,None,IPC-7711
COMP0367,MOSFET-9817,Switching / Power Control,553.9,28.528,289.746,N/A,10 Hz – 1000 MHz,Power,0.1,93.57,77.9,200 MHz,0°C to 150°C,-40°C to 85°C,100.9,SOT-363,5.27 x 4.41 x 6.62 mm,16.3864,SMT,FR4 Laminate,355434 S/m,High,Yes,IATF 16949,AEC-Q200
COMP0478,IC-9117,Signal Processing / Logic,204.0,16.106,248.911,N/A,100 Hz – 1 MHz,Power,10.0,99.52,95.2,200 MHz,0°C to 125°C,-40°C to 125°C,129.7,SMD 0805,11.67 x 17.35 x 18.41 mm,20.0909,SMT,Silicon,4382941 S/m,High,Yes,ISO 45001:2018,MIL-STD-810
COMP0012,LED-9928,Visual Indication / Illumination,62.4,13.825,387.026,N/A,100 Hz – 10 MHz,Power,10.0,91.74,89.2,8 MHz,-25°C to 70°C,-55°C to 150°C,26.9,QFP-32,26.88 x 20.71 x 4.0 mm,35.7721,SMT,Electrolytic Aluminum,2157409 S/m,Medium,Yes,ISO 14001:2015,JEDEC JESD22
COMP0025,IC-2291,Signal Processing / Logic,301.8,28.524,272.57,N/A,100 Hz – 100 MHz,Mixed-Signal,2.0,96.55,78.2,32 MHz,-40°C to 70°C,-40°C to 85°C,129.9,BGA-256,16.43 x 28.76 x 7.8 mm,41.8598,SMT,FR4 Laminate,8021946 S/m,Medium,Yes,IATF 16949,IPC-A-610
COMP0294,Capacitor-5681,Energy Storage / Filtering,372.9,34.754,416.343,2871.0 µF,100 Hz – 1000 MHz,RF,2.0,90.68,70.6,400 MHz,-25°C to 70°C,-65°C to 85°C,32.7,QFN-48,17.88 x 21.95 x 3.34 mm,48.2443,SMT,Electrolytic Aluminum,690534 S/m,Low,Yes,None,IPC-A-610
COMP0073,Connector-1053,Signal / Power Interconnect,316.9,17.323,427.432,N/A,100 Hz – 100 MHz,Analog,0.1,98.03,92.2,48 MHz,-25°C to 70°C,-55°C to 150°C,127.8,QFN-48,38.54 x 20.49 x 0.92 mm,90.7555,Press-fit,FR4 Laminate,8959886 S/m,Medium,Yes,ISO 14001:2015,IPC-A-610
COMP0084,Connector-1319,Signal / Power Interconnect,69.8,15.967,370.473,N/A,10 Hz – 1 MHz,Mixed-Signal,0.5,94.59,73.4,32 MHz,0°C to 175°C,-55°C to 85°C,145.0,DIP-8,23.09 x 0.44 x 16.69 mm,15.2666,Press-fit,Metal Oxide,5194615 S/m,Medium,Yes,ISO 14001:2015,JEDEC JESD22
COMP0332,Transistor-2341,Switching / Amplification,280.3,46.173,474.972,N/A,1000 Hz – 1000 MHz,RF,5.0,99.23,97.1,100 MHz,-25°C to 85°C,-65°C to 125°C,18.0,QFN-16,15.03 x 8.7 x 8.43 mm,97.7008,SMT,Metal Film,9725527 S/m,Medium,Yes,IATF 16949,AEC-Q200
COMP0244,Sensor-6067,Signal Acquisition / Measurement,521.2,46.766,331.164,N/A,100 Hz – 100 MHz,RF,5.0,93.71,93.8,72 MHz,-55°C to 175°C,-40°C to 105°C,41.9,SOIC-28,28.61 x 8.18 x 10.81 mm,12.7448,Press-fit,Carbon Composition,6684611 S/m,Low,Yes,ISO 45001:2018,MIL-STD-810
COMP0094,Transistor-9645,Switching / Amplification,400.8,24.527,465.461,N/A,100 Hz – 1 MHz,Analog,5.0,94.66,85.4,32 MHz,-25°C to 175°C,-65°C to 125°C,43.1,LGA-64,24.18 x 14.71 x 6.08 mm,94.0763,THT,Carbon Composition,4458282 S/m,Medium,No,ISO 9001:2015,JEDEC JESD22
COMP0035,Inductor-7065,Energy Storage / EMI Filtering,315.2,21.943,432.817,999.5 µH,10 Hz – 1000 MHz,RF,5.0,99.48,98.1,100 MHz,0°C to 125°C,-40°C to 125°C,109.7,SMD 1210,47.61 x 10.12 x 14.09 mm,66.4682,SMT,FR4 Laminate,5350345 S/m,High,Yes,ISO 9001:2015,IPC-7711
COMP0108,Diode-2104,Rectification / ESD Protection,158.4,20.349,227.793,N/A,1000 Hz – 100 MHz,Analog,1.0,92.32,73.8,48 MHz,-55°C to 175°C,-65°C to 105°C,94.5,QFP-64,32.26 x 14.68 x 1.03 mm,74.8736,Press-fit,SiC,6609653 S/m,High,Yes,ISO 45001:2018,IPC-7711
COMP0430,Sensor-7232,Signal Acquisition / Measurement,247.0,2.654,436.603,N/A,1000 Hz – 1 MHz,Mixed-Signal,5.0,92.37,82.0,1 MHz,-55°C to 175°C,-55°C to 125°C,104.0,SMD 1210,9.61 x 9.45 x 14.79 mm,26.297,SMT,GaN,3349148 S/m,Medium,No,None,AEC-Q200
COMP0368,Connector-8616,Signal / Power Interconnect,292.7,22.617,438.175,N/A,10 Hz – 100 MHz,Analog,2.0,95.42,74.0,16 MHz,-40°C to 125°C,-40°C to 85°C,12.8,BGA-324,4.5 x 1.79 x 2.95 mm,74.6722,SMT,Metal Film,515903 S/m,Medium,No,ISO 45001:2018,IPC-2221
COMP0499,Sensor-7684,Signal Acquisition / Measurement,412.0,40.777,299.86,N/A,1000 Hz – 1000 MHz,Digital,1.0,96.86,76.3,200 MHz,-40°C to 85°C,-40°C to 85°C,28.6,DIP-8,35.45 x 2.27 x 15.86 mm,63.4584,SMT,SiC,5801894 S/m,Medium,Yes,None,JEDEC JESD22
COMP0184,MOSFET-4450,Switching / Power Control,353.3,32.057,357.312,N/A,1000 Hz – 1000 MHz,Digital,0.5,95.77,92.7,72 MHz,-25°C to 105°C,-55°C to 105°C,71.4,LGA-64,32.57 x 14.15 x 12.54 mm,25.9428,SMT,SiC,8493351 S/m,Medium,Yes,None,IPC-A-610
COMP0309,Connector-1096,Signal / Power Interconnect,38.5,19.962,443.996,N/A,100 Hz – 1000 MHz,Power,0.5,99.73,93.7,16 MHz,0°C to 105°C,-55°C to 125°C,75.6,QFP-100,46.14 x 17.83 x 10.04 mm,98.5953,SMT,Metal Oxide,3889011 S/m,Low,Yes,ISO 14001:2015,UL 94V-0
COMP0351,Capacitor-4978,Energy Storage / Filtering,169.4,6.99,478.664,2722.4 µF,10 Hz – 1000 MHz,Mixed-Signal,5.0,92.45,86.4,1 MHz,-55°C to 175°C,-65°C to 105°C,21.2,SMD 1210,47.9 x 2.5 x 13.15 mm,98.7722,Press-fit,Metal Film,3540203 S/m,High,Yes,ISO 9001:2015,AEC-Q200
COMP0149,MOSFET-8811,Switching / Power Control,504.4,35.754,400.765,N/A,10 Hz – 10 MHz,RF,0.1,90.01,85.6,120 MHz,0°C to 125°C,-55°C to 85°C,92.4,QFN-16,2.79 x 5.52 x 19.28 mm,43.0917,SMT,Film,2870103 S/m,Low,Yes,ISO 45001:2018,JEDEC JESD22
COMP0083,MOSFET-6310,Switching / Power Control,256.7,47.757,464.197,N/A,100 Hz – 1000 MHz,Mixed-Signal,10.0,92.19,92.5,32 MHz,-40°C to 85°C,-65°C to 125°C,121.7,SOT-223,22.61 x 13.21 x 17.8 mm,23.6128,Press-fit,GaN,5480266 S/m,Medium,Yes,IATF 16949,AEC-Q100
COMP0391,Transistor-7046,Switching / Amplification,206.0,47.988,325.87,N/A,10 Hz – 10 MHz,Mixed-Signal,0.5,90.93,73.9,1000 MHz,-55°C to 85°C,-55°C to 125°C,141.3,QFP-64,30.87 x 6.1 x 12.37 mm,68.9325,SMT,FR4 Laminate,5435019 S/m,High,Yes,ISO 45001:2018,IPC-2221
COMP0011,Sensor-4257,Signal Acquisition / Measurement,398.4,22.527,217.548,N/A,1000 Hz – 10 MHz,Mixed-Signal,1.0,98.97,93.7,48 MHz,0°C to 105°C,-40°C to 150°C,10.9,SOT-223,42.06 x 11.4 x 15.12 mm,99.4975,SMT,FR4 Laminate,2109691 S/m,Medium,Yes,ISO 14001:2015,IPC-7711
COMP0412,Resistor-1893,Current Limiting / Voltage Division,178.7,30.07,440.714,220 Ω,100 Hz – 1000 MHz,Power,1.0,93.71,76.2,8 MHz,-55°C to 150°C,-65°C to 105°C,128.6,QFP-100,34.13 x 15.25 x 9.58 mm,37.802,Press-fit,Electrolytic Aluminum,6950854 S/m,Medium,Yes,ISO 14001:2015,IPC-2221
COMP0325,Inductor-8564,Energy Storage / EMI Filtering,44.2,7.732,199.385,110.5 µH,1 Hz – 10 MHz,Digital,5.0,97.8,93.6,200 MHz,-55°C to 125°C,-65°C to 150°C,146.4,TSSOP-20,37.0 x 23.36 x 12.79 mm,56.9112,SMT,Silicon,3788218 S/m,Medium,Yes,None,IPC-A-610
COMP0373,Connector-7209,Signal / Power Interconnect,440.8,31.536,368.96,N/A,1000 Hz – 100 MHz,Digital,10.0,96.61,90.6,72 MHz,0°C to 85°C,-65°C to 125°C,118.3,SMD 1210,4.12 x 2.6 x 2.5 mm,93.385,SMT,FR4 Laminate,54692 S/m,High,Yes,None,MIL-STD-810
COMP0092,Crystal-8787,Frequency Reference / Timing,78.3,2.754,116.762,N/A,10 Hz – 1 MHz,Power,5.0,92.35,90.8,100 MHz,-55°C to 150°C,-40°C to 85°C,44.1,SOIC-8,4.01 x 13.58 x 16.73 mm,1.5518,SMT,Metal Oxide,4702164 S/m,Medium,Yes,IATF 16949,AEC-Q200
COMP0460,Connector-2317,Signal / Power Interconnect,339.9,36.05,430.69,N/A,1000 Hz – 10 MHz,Power,0.1,97.9,82.1,1 MHz,0°C to 150°C,-40°C to 125°C,69.6,SOIC-16,39.05 x 5.73 x 18.97 mm,19.6862,SMT,Silicon,2387006 S/m,Low,Yes,ISO 45001:2018,AEC-Q200
COMP0008,Capacitor-4582,Energy Storage / Filtering,237.4,48.363,259.773,3487.4 µF,1 Hz – 100 MHz,Digital,1.0,99.14,89.2,100 MHz,-25°C to 175°C,-40°C to 125°C,65.0,TO-92,19.39 x 12.65 x 9.39 mm,77.3252,Press-fit,Metal Oxide,4117939 S/m,Low,Yes,ISO 14001:2015,UL 94V-0
COMP0157,MOSFET-5033,Switching / Power Control,6.8,0.253,1.621,N/A,1 Hz – 1 MHz,Digital,2.0,92.63,83.0,48 MHz,0°C to 175°C,-65°C to 85°C,113.8,SOT-223,25.63 x 5.6 x 19.18 mm,14.7279,Press-fit,Metal Film,6898355 S/m,High,Yes,ISO 14001:2015,MIL-STD-810
COMP0446,Capacitor-4824,Energy Storage / Filtering,597.9,36.034,280.571,208.8 µF,100 Hz – 100 MHz,Analog,2.0,94.93,80.7,200 MHz,0°C to 125°C,-65°C to 85°C,104.9,SMD 0402,2.27 x 26.65 x 12.01 mm,85.2453,SMT,Metal Film,8972252 S/m,High,Yes,IATF 16949,JEDEC JESD22
COMP0320,Connector-3091,Signal / Power Interconnect,130.6,47.729,487.12,N/A,1 Hz – 100 MHz,Analog,0.5,93.94,87.1,1000 MHz,0°C to 85°C,-65°C to 125°C,145.5,TO-247,31.85 x 20.38 x 1.05 mm,1.8874,SMT,GaN,4983264 S/m,High,Yes,ISO 14001:2015,IEC 61000-4
COMP0261,Crystal-2389,Frequency Reference / Timing,557.5,11.169,417.377,N/A,10 Hz – 10 MHz,RF,0.1,96.65,85.6,48 MHz,-25°C to 125°C,-40°C to 125°C,3.0,DIP-8,10.3 x 16.39 x 4.97 mm,36.6876,Press-fit,Metal Oxide,8526269 S/m,Medium,Yes,None,JEDEC JESD22
COMP0083,MOSFET-6310,Switching / Power Control,570.7,36.993,497.242,N/A,1000 Hz – 1 MHz,Analog,2.0,98.61,97.8,120 MHz,-40°C to 85°C,-55°C to 85°C,10.5,SOIC-16,18.39 x 12.23 x 6.99 mm,78.994,SMT,FR4 Laminate,830110 S/m,Medium,Yes,ISO 9001:2015,UL 94V-0
COMP0080,Inductor-7126,Energy Storage / EMI Filtering,527.3,8.252,394.407,467.9 µH,1000 Hz – 1 MHz,RF,10.0,90.22,73.4,100 MHz,0°C to 70°C,-40°C to 125°C,57.9,LGA-16,42.12 x 2.82 x 14.77 mm,55.613,SMT,Carbon Composition,1297500 S/m,High,Yes,IATF 16949,AEC-Q200
COMP0258,Connector-4501,Signal / Power Interconnect,259.5,10.969,368.627,N/A,10 Hz – 1 MHz,Power,2.0,93.21,98.7,100 MHz,-40°C to 70°C,-55°C to 105°C,75.5,BGA-144,20.7 x 17.49 x 10.37 mm,40.4295,Press-fit,FR4 Laminate,3198326 S/m,High,Yes,ISO 45001:2018,AEC-Q200
COMP0338,Resistor-5051,Current Limiting / Voltage Division,166.2,29.573,314.614,470 Ω,10 Hz – 10 MHz,Analog,2.0,98.08,92.3,400 MHz,-40°C to 105°C,-55°C to 105°C,8.6,SOT-23,40.09 x 10.69 x 1.28 mm,70.2845,SMT,FR4 Laminate,3683023 S/m,Medium,No,ISO 45001:2018,AEC-Q100
COMP0316,Connector-1475,Signal / Power Interconnect,59.7,42.837,211.756,N/A,100 Hz – 10 MHz,Mixed-Signal,5.0,99.14,77.0,8 MHz,-40°C to 125°C,-40°C to 105°C,140.4,LGA-16,47.07 x 27.27 x 10.17 mm,20.9716,SMT,FR4 Laminate,5829873 S/m,Medium,Yes,ISO 14001:2015,UL 94V-0
COMP0041,Inductor-8573,Energy Storage / EMI Filtering,563.4,4.448,398.644,86.1 µH,1000 Hz – 1000 MHz,Analog,0.1,90.07,78.3,16 MHz,-55°C to 125°C,-65°C to 150°C,10.4,TO-92,16.31 x 22.78 x 5.31 mm,47.3731,SMT,Ceramic,5020201 S/m,Medium,Yes,ISO 9001:2015,IPC-A-610
COMP0385,LED-8800,Visual Indication / Illumination,11.0,41.308,243.823,N/A,1 Hz – 10 MHz,Analog,1.0,98.24,87.1,48 MHz,-55°C to 70°C,-65°C to 105°C,125.3,QFN-16,32.31 x 5.1 x 7.17 mm,63.6241,Press-fit,Ceramic,5802642 S/m,Medium,Yes,ISO 14001:2015,AEC-Q100
COMP0148,Resistor-1821,Current Limiting / Voltage Division,151.2,22.415,326.152,470 Ω,100 Hz – 1000 MHz,Analog,5.0,97.31,91.5,48 MHz,0°C to 150°C,-40°C to 85°C,56.3,DIP-16,31.95 x 22.41 x 4.0 mm,91.2105,SMT,Carbon Composition,7602080 S/m,High,Yes,None,IEC 61000-4
COMP0150,Sensor-9701,Signal Acquisition / Measurement,310.1,37.107,406.288,N/A,10 Hz – 1 MHz,Power,0.5,92.23,85.1,16 MHz,0°C to 105°C,-55°C to 85°C,85.2,QFP-100,31.94 x 23.43 x 7.63 mm,88.6912,THT,SiC,4032268 S/m,Medium,Yes,IATF 16949,MIL-STD-810
COMP0374,Microcontroller-1470,Processing / Control,430.8,22.879,335.904,N/A,1 Hz – 1000 MHz,RF,1.0,94.55,96.2,48 MHz,0°C to 105°C,-40°C to 150°C,66.6,TO-220,30.22 x 27.32 x 9.86 mm,48.2404,Press-fit,Metal Film,157728 S/m,Low,Yes,IATF 16949,UL 94V-0
COMP0069,Crystal-9797,Frequency Reference / Timing,116.7,36.55,434.103,N/A,10 Hz – 10 MHz,Power,0.5,92.79,92.4,8 MHz,-40°C to 125°C,-55°C to 150°C,122.5,SOIC-28,3.08 x 7.6 x 16.4 mm,90.4707,SMT,Metal Oxide,8401312 S/m,High,Yes,ISO 45001:2018,MIL-STD-810
COMP0042,IC-5422,Signal Processing / Logic,583.9,49.75,481.656,N/A,10 Hz – 1 MHz,Digital,0.5,90.03,79.6,120 MHz,-40°C to 175°C,-40°C to 85°C,147.5,DIP-16,38.9 x 28.29 x 11.81 mm,81.6825,SMT,FR4 Laminate,3984111 S/m,Medium,Yes,None,UL 94V-0
COMP0111,Diode-5562,Rectification / ESD Protection,299.8,34.184,331.591,N/A,1 Hz – 1 MHz,RF,0.5,91.88,89.2,8 MHz,-25°C to 175°C,-55°C to 105°C,116.1,TO-92,31.42 x 17.02 x 9.89 mm,89.2913,SMT,Silicon,6382014 S/m,Low,Yes,IATF 16949,IPC-2221
COMP0064,IC-7252,Signal Processing / Logic,68.7,21.993,431.386,N/A,100 Hz – 100 MHz,Power,2.0,92.39,75.9,72 MHz,-55°C to 150°C,-55°C to 85°C,62.9,SMD 1206,31.74 x 23.45 x 15.47 mm,96.395,THT,Metal Oxide,109350 S/m,Medium,Yes,IATF 16949,IPC-A-610
COMP0043,Crystal-4598,Frequency Reference / Timing,534.4,12.33,454.152,N/A,100 Hz – 1000 MHz,RF,2.0,90.62,89.6,400 MHz,-55°C to 150°C,-55°C to 85°C,70.0,SMD 0201,13.75 x 10.21 x 12.24 mm,80.2107,THT,Silicon,4763784 S/m,High,Yes,None,UL 94V-0
COMP0479,Transistor-7561,Switching / Amplification,401.6,1.119,226.261,N/A,10 Hz – 1 MHz,Power,5.0,96.47,70.9,1 MHz,-40°C to 105°C,-55°C to 85°C,130.3,BGA-324,4.95 x 7.37 x 1.89 mm,97.6536,Press-fit,Metal Oxide,9112980 S/m,High,Yes,ISO 45001:2018,AEC-Q200
COMP0154,MOSFET-2113,Switching / Power Control,197.8,40.329,254.987,N/A,10 Hz – 10 MHz,Mixed-Signal,1.0,95.86,82.0,48 MHz,-55°C to 105°C,-40°C to 150°C,61.2,SMD 0201,34.67 x 11.64 x 4.73 mm,41.2075,SMT,Metal Film,3996767 S/m,High,Yes,ISO 45001:2018,AEC-Q100
COMP0107,LED-1964,Visual Indication / Illumination,196.6,44.965,295.122,N/A,1 Hz – 1 MHz,Power,0.1,94.13,76.7,48 MHz,0°C to 70°C,-55°C to 150°C,92.2,LGA-16,40.5 x 23.46 x 9.65 mm,50.728,SMT,Film,2648155 S/m,High,Yes,ISO 45001:2018,AEC-Q100
COMP0281,Capacitor-8478,Energy Storage / Filtering,562.0,13.736,375.194,3219.9 µF,100 Hz – 10 MHz,Mixed-Signal,0.1,95.7,89.4,32 MHz,-25°C to 175°C,-65°C to 125°C,6.4,LGA-64,19.24 x 6.5 x 3.15 mm,71.1125,Press-fit,SiC,3640538 S/m,Medium,Yes,IATF 16949,IEC 61000-4
COMP0026,Sensor-5803,Signal Acquisition / Measurement,22.5,30.912,374.855,N/A,10 Hz – 1000 MHz,Mixed-Signal,0.5,99.65,77.7,120 MHz,-55°C to 175°C,-40°C to 85°C,86.6,SMD 1210,32.53 x 11.06 x 18.6 mm,9.5074,SMT,Film,2392114 S/m,Medium,No,ISO 14001:2015,IPC-7711
COMP0066,Sensor-5119,Signal Acquisition / Measurement,191.9,49.837,240.229,N/A,1000 Hz – 100 MHz,RF,10.0,97.85,73.2,400 MHz,-40°C to 175°C,-55°C to 85°C,21.4,QFN-16,37.33 x 23.26 x 0.15 mm,2.6604,THT,Film,7581773 S/m,High,Yes,None,MIL-STD-810
COMP0138,IC-1960,Signal Processing / Logic,219.6,20.722,371.156,N/A,1000 Hz – 1000 MHz,RF,0.1,96.81,86.6,1 MHz,0°C to 150°C,-65°C to 85°C,71.1,BGA-256,47.47 x 26.05 x 4.82 mm,94.5932,Press-fit,GaN,5650440 S/m,High,Yes,ISO 14001:2015,IEC 61000-4
COMP0464,Resistor-2496,Current Limiting / Voltage Division,225.1,17.612,250.271,100000 Ω,1000 Hz – 10 MHz,Mixed-Signal,1.0,96.97,88.4,48 MHz,-55°C to 150°C,-55°C to 85°C,40.3,SOIC-28,33.42 x 2.97 x 16.67 mm,55.0616,SMT,Carbon Composition,5383060 S/m,High,Yes,ISO 45001:2018,AEC-Q100
COMP0198,Sensor-1590,Signal Acquisition / Measurement,329.3,40.638,229.027,N/A,10 Hz – 1000 MHz,Digital,5.0,94.88,76.1,100 MHz,-25°C to 175°C,-40°C to 150°C,131.8,SMD 1206,48.56 x 5.12 x 18.13 mm,95.8003,SMT,Electrolytic Aluminum,8560922 S/m,High,No,None,JEDEC JESD22
COMP0202,Microcontroller-1653,Processing / Control,308.3,3.931,302.122,N/A,1 Hz – 100 MHz,Mixed-Signal,0.5,99.33,92.6,200 MHz,-25°C to 125°C,-55°C to 85°C,42.0,SOIC-28,14.51 x 2.98 x 8.54 mm,21.4838,SMT,Ceramic,35962 S/m,Medium,Yes,ISO 9001:2015,IPC-7711
COMP0354,MOSFET-1672,Switching / Power Control,194.3,37.783,265.078,N/A,10 Hz – 10 MHz,Mixed-Signal,1.0,98.35,89.2,32 MHz,-25°C to 175°C,-55°C to 85°C,86.7,BGA-144,18.77 x 27.6 x 15.09 mm,65.2095,SMT,FR4 Laminate,4828741 S/m,Low,Yes,ISO 14001:2015,UL 94V-0
COMP0402,Diode-4545,Rectification / ESD Protection,74.1,16.113,335.141,N/A,1000 Hz – 1000 MHz,Digital,1.0,97.91,70.0,100 MHz,-40°C to 85°C,-65°C to 125°C,29.7,QFN-48,22.71 x 29.67 x 5.26 mm,86.589,SMT,FR4 Laminate,1650981 S/m,Medium,Yes,ISO 14001:2015,IPC-7711
