Supplier ID,Component ID,Past Risk Events,Failure Frequency (occurrences/year),Downtime Duration,Recovery Time,Risk Outcome (Success/Failure)
SUPP094,COMP0386,Pandemic-related facility shutdown,10.84,262 days,178 days,Success
SUPP073,COMP0075,Component discontinuation announcement,7.56,221 days,161 days,Success
SUPP079,COMP0154,Geopolitical trade restriction imposed,3.65,167 days,76 days,Success
SUPP031,COMP0027,Wafer fab yield drop below threshold,0.52,60 days,16 days,Success
SUPP098,COMP0201,Wafer fab yield drop below threshold,5.49,76 days,2 days,Success
SUPP011,COMP0448,Supply shortage due to factory fire,9.78,118 days,45 days,Success
SUPP031,COMP0416,Quality defect — batch recall issued,6.95,122 days,34 days,Success
SUPP015,COMP0206,Pandemic-related facility shutdown,10.96,293 days,94 days,Failure
SUPP015,COMP0456,Supply shortage due to factory fire,3.6,97 days,61 days,Failure
SUPP062,COMP0222,Delivery delay due to port congestion,4.14,223 days,74 days,Success
SUPP026,COMP0251,Component discontinuation announcement,8.65,192 days,158 days,Success
SUPP054,COMP0037,Delivery delay due to port congestion,0.79,32 days,8 days,Success
SUPP034,COMP0160,Delivery delay due to port congestion,11.66,2 days,1 days,Success
SUPP038,COMP0232,Export control regulation change,6.35,241 days,227 days,Success
SUPP092,COMP0313,Component discontinuation announcement,3.0,231 days,68 days,Success
SUPP026,COMP0396,Supply shortage due to factory fire,10.44,250 days,127 days,Success
SUPP080,COMP0378,Quality defect — batch recall issued,7.49,197 days,151 days,Failure
SUPP002,COMP0026,Counterfeit component detection,0.96,284 days,54 days,Failure
SUPP020,COMP0376,Export control regulation change,0.68,227 days,195 days,Failure
SUPP002,COMP0045,Component discontinuation announcement,2.61,73 days,59 days,Success
SUPP017,COMP0066,Natural disaster impact on fab,2.98,217 days,120 days,Failure
SUPP047,COMP0207,Export control regulation change,9.06,277 days,197 days,Failure
SUPP096,COMP0291,Wafer fab yield drop below threshold,9.91,261 days,244 days,Success
SUPP099,COMP0210,Logistics disruption — carrier strike,2.48,178 days,95 days,Success
SUPP026,COMP0487,Pandemic-related facility shutdown,1.79,356 days,277 days,Success
SUPP069,COMP0084,Supply shortage due to factory fire,1.01,232 days,17 days,Success
SUPP075,COMP0122,Delivery delay due to port congestion,1.87,238 days,165 days,Success
SUPP081,COMP0299,Logistics disruption — carrier strike,6.14,103 days,103 days,Success
SUPP064,COMP0371,Geopolitical trade restriction imposed,5.54,61 days,10 days,Failure
SUPP002,COMP0269,Natural disaster impact on fab,7.89,349 days,348 days,Success
SUPP081,COMP0260,Wafer fab yield drop below threshold,11.24,136 days,71 days,Failure
SUPP035,COMP0495,Sudden capacity reduction by supplier,5.67,237 days,225 days,Failure
SUPP092,COMP0151,Raw material scarcity — price surge,11.85,250 days,209 days,Success
SUPP029,COMP0305,Export control regulation change,1.8,153 days,47 days,Failure
SUPP056,COMP0459,Logistics disruption — carrier strike,10.51,149 days,148 days,Success
SUPP026,COMP0177,Delivery delay due to port congestion,0.91,286 days,133 days,Success
SUPP061,COMP0269,Geopolitical trade restriction imposed,4.31,5 days,3 days,Failure
SUPP073,COMP0358,Logistics disruption — carrier strike,4.58,293 days,104 days,Success
SUPP027,COMP0373,Export control regulation change,3.29,204 days,135 days,Success
SUPP061,COMP0193,Export control regulation change,3.2,108 days,29 days,Failure
SUPP080,COMP0214,Natural disaster impact on fab,8.55,323 days,187 days,Success
SUPP044,COMP0140,Component discontinuation announcement,11.6,113 days,88 days,Success
SUPP070,COMP0326,Wafer fab yield drop below threshold,11.15,253 days,16 days,Success
SUPP023,COMP0185,Export control regulation change,6.92,206 days,29 days,Failure
SUPP078,COMP0043,Delivery delay due to port congestion,2.88,107 days,78 days,Success
SUPP055,COMP0173,Pandemic-related facility shutdown,10.48,201 days,132 days,Success
SUPP007,COMP0418,Raw material scarcity — price surge,2.39,323 days,28 days,Success
SUPP091,COMP0179,Wafer fab yield drop below threshold,8.23,313 days,49 days,Success
SUPP053,COMP0146,Natural disaster impact on fab,5.87,113 days,98 days,Failure
SUPP083,COMP0255,Supply shortage due to factory fire,6.01,109 days,94 days,Failure
SUPP043,COMP0078,Natural disaster impact on fab,11.98,142 days,36 days,Failure
SUPP033,COMP0333,Quality defect — batch recall issued,6.22,159 days,157 days,Failure
SUPP021,COMP0311,Natural disaster impact on fab,7.66,218 days,46 days,Failure
SUPP012,COMP0297,Quality defect — batch recall issued,0.88,309 days,257 days,Failure
SUPP017,COMP0403,Logistics disruption — carrier strike,11.9,211 days,210 days,Success
SUPP018,COMP0291,Wafer fab yield drop below threshold,6.6,277 days,24 days,Success
SUPP066,COMP0103,Export control regulation change,6.77,359 days,257 days,Success
SUPP029,COMP0158,Sudden capacity reduction by supplier,4.5,18 days,3 days,Failure
SUPP038,COMP0353,Supplier financial instability,7.19,324 days,25 days,Failure
SUPP087,COMP0140,Natural disaster impact on fab,4.03,175 days,2 days,Success
SUPP056,COMP0269,Supply shortage due to factory fire,6.07,145 days,58 days,Success
SUPP075,COMP0136,Supply shortage due to factory fire,5.16,345 days,21 days,Success
SUPP046,COMP0276,Pandemic-related facility shutdown,8.35,324 days,27 days,Success
SUPP092,COMP0035,Geopolitical trade restriction imposed,11.41,10 days,7 days,Success
SUPP039,COMP0122,Delivery delay due to port congestion,11.26,194 days,160 days,Success
SUPP023,COMP0063,Raw material scarcity — price surge,11.85,361 days,20 days,Failure
SUPP016,COMP0109,Supplier financial instability,6.67,289 days,198 days,Success
SUPP006,COMP0433,Component discontinuation announcement,5.42,22 days,15 days,Failure
SUPP089,COMP0373,Counterfeit component detection,10.2,357 days,289 days,Success
SUPP004,COMP0342,Natural disaster impact on fab,7.22,232 days,116 days,Success
SUPP045,COMP0461,Delivery delay due to port congestion,0.8,358 days,317 days,Success
SUPP037,COMP0038,Delivery delay due to port congestion,11.88,101 days,23 days,Failure
SUPP021,COMP0346,Counterfeit component detection,3.68,103 days,88 days,Success
SUPP088,COMP0316,Natural disaster impact on fab,7.73,265 days,48 days,Failure
SUPP089,COMP0013,Export control regulation change,5.02,96 days,8 days,Failure
SUPP048,COMP0171,Natural disaster impact on fab,7.98,149 days,124 days,Success
SUPP047,COMP0029,Raw material scarcity — price surge,7.59,277 days,272 days,Success
SUPP021,COMP0305,Logistics disruption — carrier strike,8.36,94 days,40 days,Success
SUPP051,COMP0036,Supply shortage due to factory fire,8.6,208 days,201 days,Failure
SUPP044,COMP0099,Component discontinuation announcement,2.59,287 days,64 days,Failure
SUPP071,COMP0470,Pandemic-related facility shutdown,9.55,234 days,81 days,Success
SUPP060,COMP0034,Natural disaster impact on fab,6.55,129 days,31 days,Success
SUPP063,COMP0473,Supplier financial instability,11.84,186 days,100 days,Failure
SUPP098,COMP0359,Delivery delay due to port congestion,2.96,363 days,79 days,Success
SUPP017,COMP0366,Counterfeit component detection,4.29,293 days,74 days,Success
SUPP073,COMP0215,Pandemic-related facility shutdown,2.82,273 days,167 days,Failure
SUPP064,COMP0304,Component discontinuation announcement,3.4,326 days,105 days,Failure
SUPP099,COMP0052,Export control regulation change,11.11,281 days,10 days,Success
SUPP001,COMP0057,Delivery delay due to port congestion,6.93,1 days,1 days,Success
SUPP024,COMP0328,Logistics disruption — carrier strike,11.85,166 days,141 days,Failure
SUPP090,COMP0147,Logistics disruption — carrier strike,4.59,344 days,166 days,Success
SUPP070,COMP0490,Supply shortage due to factory fire,5.77,215 days,166 days,Success
SUPP038,COMP0023,Pandemic-related facility shutdown,0.05,280 days,87 days,Failure
SUPP081,COMP0341,Counterfeit component detection,5.61,250 days,143 days,Success
SUPP076,COMP0199,Logistics disruption — carrier strike,11.05,90 days,75 days,Success
SUPP084,COMP0326,Logistics disruption — carrier strike,4.61,91 days,13 days,Failure
SUPP079,COMP0357,Logistics disruption — carrier strike,10.37,316 days,314 days,Success
SUPP018,COMP0380,Raw material scarcity — price surge,6.19,306 days,171 days,Success
SUPP041,COMP0232,Logistics disruption — carrier strike,3.05,278 days,148 days,Failure
SUPP027,COMP0167,Delivery delay due to port congestion,10.58,165 days,54 days,Failure
SUPP054,COMP0178,Supply shortage due to factory fire,7.48,279 days,49 days,Success
SUPP058,COMP0437,Counterfeit component detection,7.62,75 days,6 days,Success
SUPP049,COMP0021,Sudden capacity reduction by supplier,3.03,154 days,92 days,Failure
SUPP081,COMP0205,Supplier financial instability,10.31,101 days,14 days,Failure
SUPP053,COMP0478,Export control regulation change,7.38,201 days,170 days,Failure
SUPP004,COMP0289,Supplier financial instability,7.14,60 days,7 days,Success
SUPP064,COMP0176,Quality defect — batch recall issued,11.97,357 days,330 days,Success
SUPP100,COMP0203,Raw material scarcity — price surge,8.32,204 days,97 days,Success
SUPP093,COMP0346,Component discontinuation announcement,9.64,56 days,17 days,Success
SUPP081,COMP0097,Component discontinuation announcement,8.85,351 days,152 days,Success
SUPP016,COMP0193,Logistics disruption — carrier strike,8.59,142 days,54 days,Success
SUPP048,COMP0380,Natural disaster impact on fab,0.43,146 days,21 days,Failure
SUPP054,COMP0226,Counterfeit component detection,10.01,26 days,9 days,Success
SUPP025,COMP0486,Logistics disruption — carrier strike,8.98,249 days,168 days,Failure
SUPP084,COMP0179,Component discontinuation announcement,11.58,45 days,6 days,Success
SUPP094,COMP0421,Component discontinuation announcement,6.11,113 days,106 days,Success
SUPP068,COMP0211,Supplier financial instability,9.51,207 days,23 days,Success
SUPP081,COMP0004,Quality defect — batch recall issued,0.76,209 days,165 days,Success
SUPP071,COMP0148,Supplier financial instability,4.64,147 days,133 days,Failure
SUPP090,COMP0017,Logistics disruption — carrier strike,7.95,265 days,139 days,Failure
SUPP096,COMP0176,Supplier financial instability,11.9,172 days,96 days,Success
SUPP073,COMP0439,Wafer fab yield drop below threshold,8.74,35 days,10 days,Success
SUPP078,COMP0146,Counterfeit component detection,10.42,86 days,79 days,Success
SUPP060,COMP0392,Counterfeit component detection,11.6,205 days,29 days,Success
SUPP047,COMP0218,Component discontinuation announcement,8.21,226 days,42 days,Success
SUPP079,COMP0086,Natural disaster impact on fab,8.9,129 days,29 days,Success
SUPP079,COMP0105,Export control regulation change,1.29,3 days,2 days,Failure
SUPP092,COMP0284,Delivery delay due to port congestion,0.54,32 days,22 days,Success
SUPP012,COMP0129,Logistics disruption — carrier strike,3.38,162 days,161 days,Success
SUPP027,COMP0418,Component discontinuation announcement,1.0,287 days,220 days,Failure
SUPP040,COMP0046,Counterfeit component detection,4.13,74 days,68 days,Success
SUPP038,COMP0229,Sudden capacity reduction by supplier,2.49,176 days,36 days,Success
SUPP082,COMP0155,Component discontinuation announcement,10.13,266 days,257 days,Success
SUPP089,COMP0452,Export control regulation change,0.74,359 days,265 days,Success
SUPP070,COMP0362,Logistics disruption — carrier strike,8.97,48 days,15 days,Success
SUPP039,COMP0446,Counterfeit component detection,10.15,195 days,190 days,Success
SUPP070,COMP0081,Raw material scarcity — price surge,3.17,126 days,74 days,Success
SUPP060,COMP0096,Logistics disruption — carrier strike,8.83,294 days,31 days,Success
SUPP080,COMP0101,Counterfeit component detection,9.1,12 days,1 days,Success
SUPP100,COMP0360,Delivery delay due to port congestion,7.6,89 days,63 days,Success
SUPP080,COMP0168,Pandemic-related facility shutdown,2.33,100 days,19 days,Success
SUPP073,COMP0256,Counterfeit component detection,5.26,338 days,1 days,Failure
SUPP045,COMP0149,Supply shortage due to factory fire,3.5,148 days,118 days,Success
SUPP032,COMP0106,Delivery delay due to port congestion,2.34,188 days,10 days,Success
SUPP030,COMP0011,Wafer fab yield drop below threshold,7.03,155 days,122 days,Success
SUPP021,COMP0460,Logistics disruption — carrier strike,6.26,297 days,226 days,Failure
SUPP033,COMP0130,Logistics disruption — carrier strike,7.1,77 days,54 days,Failure
SUPP014,COMP0256,Delivery delay due to port congestion,8.44,289 days,192 days,Failure
SUPP049,COMP0058,Logistics disruption — carrier strike,0.9,313 days,248 days,Failure
SUPP042,COMP0384,Component discontinuation announcement,8.19,339 days,334 days,Success
SUPP016,COMP0271,Geopolitical trade restriction imposed,9.92,336 days,294 days,Success
SUPP097,COMP0343,Delivery delay due to port congestion,0.48,128 days,124 days,Failure
SUPP072,COMP0490,Raw material scarcity — price surge,11.35,187 days,152 days,Success
SUPP084,COMP0422,Supply shortage due to factory fire,7.53,70 days,8 days,Success
SUPP078,COMP0493,Counterfeit component detection,11.77,263 days,61 days,Success
SUPP087,COMP0223,Pandemic-related facility shutdown,11.39,190 days,148 days,Success
SUPP072,COMP0144,Geopolitical trade restriction imposed,9.85,290 days,13 days,Success
SUPP051,COMP0447,Supplier financial instability,2.45,205 days,75 days,Failure
SUPP035,COMP0166,Wafer fab yield drop below threshold,6.7,51 days,13 days,Success
SUPP043,COMP0183,Delivery delay due to port congestion,4.24,140 days,109 days,Success
SUPP043,COMP0382,Export control regulation change,10.32,39 days,26 days,Success
SUPP095,COMP0467,Quality defect — batch recall issued,1.6,212 days,38 days,Failure
SUPP032,COMP0285,Natural disaster impact on fab,4.91,113 days,12 days,Failure
SUPP092,COMP0467,Pandemic-related facility shutdown,8.82,5 days,5 days,Failure
SUPP051,COMP0353,Counterfeit component detection,5.49,174 days,159 days,Success
SUPP002,COMP0248,Export control regulation change,1.77,21 days,18 days,Success
SUPP038,COMP0340,Component discontinuation announcement,1.74,340 days,232 days,Failure
SUPP028,COMP0303,Component discontinuation announcement,7.78,195 days,18 days,Failure
SUPP077,COMP0226,Raw material scarcity — price surge,7.17,49 days,33 days,Success
SUPP030,COMP0191,Export control regulation change,10.2,276 days,138 days,Success
SUPP070,COMP0030,Delivery delay due to port congestion,10.36,106 days,67 days,Success
SUPP053,COMP0079,Pandemic-related facility shutdown,11.57,310 days,75 days,Success
SUPP035,COMP0092,Supplier financial instability,8.69,125 days,117 days,Success
SUPP019,COMP0019,Wafer fab yield drop below threshold,9.28,315 days,281 days,Failure
SUPP011,COMP0136,Export control regulation change,10.3,146 days,96 days,Failure
SUPP072,COMP0145,Component discontinuation announcement,8.78,347 days,55 days,Failure
SUPP023,COMP0068,Quality defect — batch recall issued,10.02,346 days,185 days,Failure
SUPP028,COMP0035,Raw material scarcity — price surge,6.41,216 days,41 days,Success
SUPP099,COMP0137,Component discontinuation announcement,8.24,261 days,100 days,Success
SUPP036,COMP0029,Component discontinuation announcement,5.48,329 days,103 days,Success
SUPP071,COMP0313,Export control regulation change,4.85,342 days,186 days,Failure
SUPP051,COMP0257,Geopolitical trade restriction imposed,4.94,331 days,290 days,Success
SUPP015,COMP0187,Logistics disruption — carrier strike,7.52,137 days,134 days,Failure
SUPP093,COMP0002,Natural disaster impact on fab,1.9,73 days,44 days,Success
SUPP039,COMP0343,Logistics disruption — carrier strike,7.03,257 days,48 days,Failure
SUPP070,COMP0371,Supplier financial instability,7.6,214 days,107 days,Success
SUPP071,COMP0088,Sudden capacity reduction by supplier,3.7,105 days,39 days,Failure
SUPP039,COMP0266,Logistics disruption — carrier strike,3.51,1 days,1 days,Success
SUPP050,COMP0389,Natural disaster impact on fab,9.99,235 days,111 days,Success
SUPP040,COMP0449,Delivery delay due to port congestion,9.86,364 days,320 days,Success
SUPP082,COMP0079,Natural disaster impact on fab,7.99,58 days,25 days,Failure
SUPP058,COMP0476,Logistics disruption — carrier strike,8.1,312 days,130 days,Success
SUPP070,COMP0255,Component discontinuation announcement,0.87,143 days,90 days,Success
SUPP076,COMP0307,Sudden capacity reduction by supplier,11.01,32 days,13 days,Success
SUPP071,COMP0406,Sudden capacity reduction by supplier,11.12,17 days,4 days,Failure
SUPP043,COMP0191,Natural disaster impact on fab,4.18,107 days,36 days,Success
SUPP060,COMP0490,Supply shortage due to factory fire,1.32,331 days,285 days,Success
SUPP017,COMP0181,Counterfeit component detection,3.38,339 days,136 days,Failure
SUPP014,COMP0456,Geopolitical trade restriction imposed,8.4,225 days,83 days,Success
SUPP023,COMP0345,Raw material scarcity — price surge,1.17,34 days,21 days,Success
SUPP033,COMP0103,Quality defect — batch recall issued,3.9,248 days,78 days,Failure
SUPP004,COMP0120,Component discontinuation announcement,0.34,65 days,43 days,Success
SUPP077,COMP0070,Sudden capacity reduction by supplier,8.63,173 days,53 days,Success
SUPP028,COMP0071,Supplier financial instability,11.02,65 days,23 days,Failure
SUPP081,COMP0461,Export control regulation change,10.41,73 days,49 days,Success
SUPP035,COMP0262,Sudden capacity reduction by supplier,5.51,351 days,303 days,Failure
SUPP004,COMP0433,Component discontinuation announcement,4.87,332 days,51 days,Failure
SUPP070,COMP0415,Geopolitical trade restriction imposed,8.66,141 days,96 days,Success
SUPP078,COMP0163,Supply shortage due to factory fire,3.16,55 days,36 days,Success
SUPP027,COMP0433,Natural disaster impact on fab,0.12,236 days,135 days,Success
SUPP048,COMP0481,Supplier financial instability,9.1,37 days,30 days,Success
SUPP058,COMP0242,Delivery delay due to port congestion,3.07,243 days,156 days,Success
SUPP099,COMP0226,Geopolitical trade restriction imposed,9.35,186 days,142 days,Success
SUPP091,COMP0370,Component discontinuation announcement,10.66,180 days,146 days,Success
SUPP097,COMP0392,Component discontinuation announcement,2.11,55 days,7 days,Failure
SUPP029,COMP0456,Export control regulation change,5.38,103 days,30 days,Failure
SUPP079,COMP0343,Delivery delay due to port congestion,9.02,189 days,27 days,Success
SUPP023,COMP0405,Sudden capacity reduction by supplier,1.81,68 days,60 days,Success
SUPP025,COMP0198,Raw material scarcity — price surge,3.66,57 days,46 days,Success
SUPP052,COMP0318,Pandemic-related facility shutdown,10.33,202 days,152 days,Failure
SUPP033,COMP0237,Geopolitical trade restriction imposed,9.55,185 days,4 days,Success
SUPP086,COMP0279,Component discontinuation announcement,7.52,82 days,40 days,Failure
SUPP026,COMP0206,Logistics disruption — carrier strike,8.75,364 days,156 days,Success
SUPP085,COMP0257,Logistics disruption — carrier strike,3.13,147 days,146 days,Success
SUPP057,COMP0337,Sudden capacity reduction by supplier,1.7,131 days,51 days,Success
SUPP019,COMP0041,Logistics disruption — carrier strike,0.23,159 days,17 days,Success
SUPP032,COMP0330,Geopolitical trade restriction imposed,4.56,276 days,214 days,Failure
SUPP015,COMP0419,Sudden capacity reduction by supplier,2.69,288 days,275 days,Failure
SUPP013,COMP0102,Natural disaster impact on fab,1.27,283 days,40 days,Success
SUPP071,COMP0064,Component discontinuation announcement,11.19,292 days,102 days,Success
SUPP003,COMP0158,Counterfeit component detection,1.86,357 days,267 days,Failure
SUPP019,COMP0216,Supply shortage due to factory fire,0.6,280 days,232 days,Success
SUPP001,COMP0395,Component discontinuation announcement,0.62,156 days,142 days,Success
SUPP056,COMP0176,Delivery delay due to port congestion,11.91,244 days,10 days,Failure
SUPP088,COMP0215,Wafer fab yield drop below threshold,11.93,122 days,32 days,Success
SUPP088,COMP0493,Supply shortage due to factory fire,7.14,175 days,7 days,Failure
SUPP084,COMP0460,Geopolitical trade restriction imposed,8.55,107 days,36 days,Success
SUPP066,COMP0402,Export control regulation change,4.66,122 days,6 days,Success
SUPP015,COMP0011,Export control regulation change,1.71,73 days,59 days,Success
SUPP097,COMP0288,Pandemic-related facility shutdown,11.9,16 days,16 days,Failure
SUPP041,COMP0340,Counterfeit component detection,8.96,110 days,87 days,Failure
SUPP011,COMP0478,Counterfeit component detection,0.7,202 days,72 days,Failure
SUPP070,COMP0490,Supply shortage due to factory fire,2.5,114 days,49 days,Failure
SUPP006,COMP0474,Wafer fab yield drop below threshold,4.82,323 days,202 days,Failure
SUPP093,COMP0140,Supply shortage due to factory fire,9.59,203 days,157 days,Success
SUPP019,COMP0355,Natural disaster impact on fab,9.51,119 days,48 days,Success
SUPP012,COMP0455,Pandemic-related facility shutdown,10.08,133 days,61 days,Success
SUPP039,COMP0391,Delivery delay due to port congestion,2.02,81 days,12 days,Failure
SUPP016,COMP0091,Logistics disruption — carrier strike,5.42,248 days,65 days,Success
SUPP041,COMP0208,Logistics disruption — carrier strike,9.24,2 days,2 days,Success
SUPP017,COMP0410,Logistics disruption — carrier strike,0.63,225 days,27 days,Failure
SUPP011,COMP0086,Export control regulation change,10.26,1 days,1 days,Failure
SUPP027,COMP0460,Natural disaster impact on fab,11.64,13 days,13 days,Success
SUPP067,COMP0467,Raw material scarcity — price surge,7.88,312 days,32 days,Success
SUPP078,COMP0306,Raw material scarcity — price surge,5.95,200 days,100 days,Failure
SUPP003,COMP0118,Quality defect — batch recall issued,0.44,84 days,51 days,Failure
SUPP001,COMP0386,Supplier financial instability,3.82,135 days,30 days,Failure
SUPP049,COMP0119,Geopolitical trade restriction imposed,2.98,245 days,114 days,Success
SUPP010,COMP0159,Natural disaster impact on fab,5.99,103 days,30 days,Success
SUPP048,COMP0134,Delivery delay due to port congestion,0.13,176 days,19 days,Failure
SUPP091,COMP0337,Counterfeit component detection,6.41,221 days,47 days,Success
SUPP014,COMP0289,Sudden capacity reduction by supplier,8.98,85 days,28 days,Success
SUPP037,COMP0131,Natural disaster impact on fab,6.62,209 days,78 days,Failure
SUPP017,COMP0100,Supplier financial instability,8.21,142 days,69 days,Success
SUPP062,COMP0080,Export control regulation change,8.8,254 days,79 days,Success
SUPP067,COMP0076,Logistics disruption — carrier strike,2.94,1 days,1 days,Failure
SUPP087,COMP0025,Component discontinuation announcement,1.57,186 days,95 days,Success
SUPP022,COMP0297,Pandemic-related facility shutdown,1.76,6 days,3 days,Success
SUPP001,COMP0475,Natural disaster impact on fab,6.58,102 days,98 days,Success
SUPP023,COMP0143,Wafer fab yield drop below threshold,6.84,349 days,143 days,Success
SUPP074,COMP0126,Geopolitical trade restriction imposed,5.62,3 days,2 days,Failure
SUPP077,COMP0358,Sudden capacity reduction by supplier,6.68,130 days,58 days,Success
SUPP091,COMP0154,Sudden capacity reduction by supplier,5.67,219 days,172 days,Failure
SUPP049,COMP0423,Delivery delay due to port congestion,8.52,45 days,7 days,Failure
SUPP047,COMP0292,Sudden capacity reduction by supplier,3.65,89 days,30 days,Failure
SUPP056,COMP0262,Pandemic-related facility shutdown,10.65,97 days,94 days,Success
SUPP027,COMP0240,Quality defect — batch recall issued,7.03,31 days,1 days,Failure
SUPP039,COMP0460,Supply shortage due to factory fire,2.4,220 days,110 days,Success
SUPP100,COMP0246,Geopolitical trade restriction imposed,10.51,25 days,21 days,Success
SUPP069,COMP0018,Sudden capacity reduction by supplier,3.86,161 days,18 days,Failure
SUPP090,COMP0356,Counterfeit component detection,5.91,173 days,141 days,Failure
SUPP067,COMP0493,Export control regulation change,6.41,215 days,55 days,Failure
SUPP080,COMP0266,Pandemic-related facility shutdown,9.6,240 days,144 days,Success
SUPP004,COMP0376,Quality defect — batch recall issued,9.03,112 days,105 days,Failure
SUPP082,COMP0224,Pandemic-related facility shutdown,4.27,204 days,19 days,Success
SUPP095,COMP0033,Logistics disruption — carrier strike,5.36,247 days,186 days,Success
SUPP063,COMP0466,Natural disaster impact on fab,1.65,5 days,2 days,Success
SUPP036,COMP0225,Component discontinuation announcement,4.57,139 days,99 days,Success
SUPP090,COMP0179,Pandemic-related facility shutdown,0.6,83 days,1 days,Success
SUPP024,COMP0141,Export control regulation change,11.69,230 days,69 days,Failure
SUPP019,COMP0331,Sudden capacity reduction by supplier,11.68,137 days,100 days,Failure
SUPP082,COMP0002,Natural disaster impact on fab,8.74,181 days,45 days,Success
SUPP092,COMP0303,Wafer fab yield drop below threshold,5.56,351 days,164 days,Success
SUPP084,COMP0015,Logistics disruption — carrier strike,4.93,301 days,260 days,Success
SUPP058,COMP0391,Supply shortage due to factory fire,7.68,204 days,48 days,Success
SUPP034,COMP0472,Sudden capacity reduction by supplier,6.22,281 days,49 days,Success
SUPP083,COMP0073,Counterfeit component detection,6.12,114 days,66 days,Success
SUPP004,COMP0169,Supplier financial instability,11.56,14 days,6 days,Failure
SUPP001,COMP0447,Quality defect — batch recall issued,7.86,347 days,128 days,Success
SUPP036,COMP0117,Raw material scarcity — price surge,3.17,28 days,26 days,Success
SUPP079,COMP0051,Counterfeit component detection,7.58,98 days,36 days,Success
SUPP041,COMP0188,Logistics disruption — carrier strike,1.87,74 days,29 days,Success
SUPP077,COMP0296,Quality defect — batch recall issued,7.79,322 days,4 days,Success
SUPP094,COMP0098,Supply shortage due to factory fire,10.24,265 days,12 days,Success
SUPP074,COMP0172,Quality defect — batch recall issued,2.24,117 days,11 days,Success
SUPP008,COMP0052,Supply shortage due to factory fire,11.36,323 days,297 days,Success
SUPP007,COMP0267,Wafer fab yield drop below threshold,5.74,76 days,60 days,Failure
SUPP020,COMP0175,Quality defect — batch recall issued,7.59,81 days,24 days,Success
SUPP093,COMP0196,Pandemic-related facility shutdown,10.89,165 days,66 days,Success
SUPP011,COMP0139,Pandemic-related facility shutdown,10.86,185 days,169 days,Success
SUPP095,COMP0372,Wafer fab yield drop below threshold,8.02,306 days,132 days,Success
SUPP043,COMP0336,Raw material scarcity — price surge,6.11,243 days,118 days,Success
SUPP064,COMP0478,Logistics disruption — carrier strike,3.27,306 days,137 days,Failure
SUPP086,COMP0090,Component discontinuation announcement,7.2,38 days,18 days,Failure
SUPP052,COMP0195,Geopolitical trade restriction imposed,11.42,18 days,1 days,Failure
SUPP023,COMP0290,Pandemic-related facility shutdown,1.09,37 days,2 days,Success
SUPP075,COMP0458,Supply shortage due to factory fire,10.01,66 days,16 days,Failure
SUPP096,COMP0069,Raw material scarcity — price surge,10.04,23 days,1 days,Success
SUPP021,COMP0475,Quality defect — batch recall issued,6.37,180 days,18 days,Failure
SUPP092,COMP0254,Supply shortage due to factory fire,5.06,217 days,208 days,Success
SUPP076,COMP0073,Supplier financial instability,3.75,290 days,142 days,Failure
SUPP098,COMP0323,Logistics disruption — carrier strike,8.31,120 days,91 days,Success
SUPP022,COMP0381,Pandemic-related facility shutdown,5.82,177 days,136 days,Success
SUPP045,COMP0269,Component discontinuation announcement,9.01,298 days,42 days,Failure
SUPP063,COMP0139,Sudden capacity reduction by supplier,0.75,334 days,64 days,Success
SUPP022,COMP0351,Raw material scarcity — price surge,5.16,48 days,32 days,Failure
SUPP079,COMP0024,Natural disaster impact on fab,6.35,175 days,163 days,Failure
SUPP036,COMP0133,Natural disaster impact on fab,3.44,332 days,268 days,Success
SUPP081,COMP0391,Geopolitical trade restriction imposed,11.11,118 days,17 days,Failure
SUPP005,COMP0433,Natural disaster impact on fab,7.3,29 days,27 days,Success
SUPP052,COMP0325,Logistics disruption — carrier strike,9.14,314 days,16 days,Success
SUPP083,COMP0157,Sudden capacity reduction by supplier,1.29,307 days,232 days,Failure
SUPP030,COMP0282,Supply shortage due to factory fire,0.94,234 days,143 days,Success
SUPP063,COMP0366,Export control regulation change,4.7,124 days,60 days,Success
SUPP032,COMP0111,Export control regulation change,4.34,139 days,78 days,Success
SUPP049,COMP0135,Raw material scarcity — price surge,3.1,104 days,86 days,Success
SUPP012,COMP0435,Logistics disruption — carrier strike,8.45,89 days,53 days,Success
SUPP089,COMP0319,Geopolitical trade restriction imposed,0.83,296 days,93 days,Success
SUPP016,COMP0379,Counterfeit component detection,1.77,203 days,163 days,Success
SUPP027,COMP0146,Supply shortage due to factory fire,4.13,147 days,124 days,Success
SUPP001,COMP0278,Supplier financial instability,6.88,125 days,35 days,Success
SUPP015,COMP0371,Supplier financial instability,5.77,281 days,158 days,Success
SUPP081,COMP0043,Raw material scarcity — price surge,4.81,156 days,87 days,Success
SUPP043,COMP0073,Natural disaster impact on fab,0.49,53 days,13 days,Success
SUPP086,COMP0086,Supplier financial instability,6.93,314 days,256 days,Failure
SUPP024,COMP0244,Geopolitical trade restriction imposed,1.81,290 days,267 days,Success
SUPP084,COMP0081,Wafer fab yield drop below threshold,5.96,71 days,37 days,Success
SUPP071,COMP0060,Supplier financial instability,7.36,157 days,55 days,Failure
SUPP015,COMP0215,Supply shortage due to factory fire,4.55,9 days,2 days,Success
SUPP050,COMP0356,Component discontinuation announcement,9.94,162 days,79 days,Success
