Supplier ID,Supplier Name,Location,Component ID,Cost per Component ($),Available Quantity,Lead Time (Weeks),Reliability Score (0-1),Past Performance Rating (1-5),Alternate Supplier ID
SUPP006,AVX Corporation,"Penang, Malaysia",COMP0089,86.41,56700,23,0.81,2.7,SUPP072
SUPP025,Maxim Integrated,"Milan, Italy",COMP0187,175.3,16154,6,0.52,3.3,SUPP002
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0221,708.87,167425,14,0.98,1.2,SUPP016
SUPP082,Silicon Labs,"Hsinchu, Taiwan",COMP0129,305.79,396271,23,0.51,4.8,SUPP086
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0086,583.28,143449,32,0.87,3.6,SUPP067
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0191,349.43,17868,32,0.88,1.8,SUPP092
SUPP019,Hirose Electric,"Milan, Italy",COMP0336,555.9,50330,2,0.81,1.0,SUPP006
SUPP002,TDK Corporation,"Gyeonggi, South Korea",COMP0290,139.57,243383,16,0.79,1.7,SUPP090
SUPP054,Dinkle,"Shanghai, China",COMP0321,13.66,300798,45,0.83,2.5,SUPP094
SUPP057,Harting,"Tokyo, Japan",COMP0270,505.23,454391,29,0.74,2.7,SUPP013
SUPP046,Lite-On Technology,"Zurich, Switzerland",COMP0399,232.69,83249,19,0.58,2.6,SUPP085
SUPP085,Espressif Systems,"London, UK",COMP0359,512.88,159612,20,0.83,3.6,SUPP011
SUPP076,Sprague Goodman,"Shanghai, China",COMP0445,153.74,296584,38,0.67,2.2,SUPP011
SUPP045,Osram Opto,"Eindhoven, Netherlands",COMP0323,361.33,403512,34,0.61,2.1,SUPP020
SUPP072,KOA Speer,"Hsinchu, Taiwan",COMP0322,319.94,183133,20,0.66,2.0,SUPP063
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0102,749.35,429823,3,0.99,1.7,SUPP015
SUPP008,Texas Instruments,Singapore,COMP0283,718.02,286571,19,0.66,3.3,SUPP100
SUPP096,Navitas Semiconductor,"Penang, Malaysia",COMP0069,109.24,306135,35,0.8,3.3,SUPP047
SUPP096,Navitas Semiconductor,"Penang, Malaysia",COMP0443,709.05,352807,8,0.96,2.1,SUPP023
SUPP081,Eaton Electronics,"Bangalore, India",COMP0136,130.96,419491,5,0.51,4.2,SUPP038
SUPP050,Amphenol Advanced Sensors,"Tokyo, Japan",COMP0034,405.1,483919,40,0.66,4.4,SUPP068
SUPP092,Bel Magnetic Solutions,"Taipei, Taiwan",COMP0386,400.62,25876,18,0.63,1.9,SUPP006
SUPP037,Abracon,"Chennai, India",COMP0081,676.66,275989,36,0.74,2.5,SUPP032
SUPP033,Bel Fuse,"Munich, Germany",COMP0196,271.52,234452,21,0.84,1.5,SUPP079
SUPP012,Microchip Technology,"Eindhoven, Netherlands",COMP0472,159.82,54971,9,0.56,4.7,SUPP014
SUPP019,Hirose Electric,"Milan, Italy",COMP0054,474.31,390753,29,0.51,4.6,SUPP052
SUPP045,Osram Opto,"Eindhoven, Netherlands",COMP0125,115.84,47319,14,0.57,2.2,SUPP083
SUPP009,STMicroelectronics,"Osaka, Japan",COMP0104,680.94,228718,5,0.97,1.2,SUPP021
SUPP013,ON Semiconductor,"Gyeonggi, South Korea",COMP0160,298.41,54731,15,1.0,1.7,SUPP068
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0176,124.61,41021,45,0.88,4.3,SUPP054
SUPP027,Diodes Incorporated,"Shenzhen, China",COMP0303,700.88,281397,36,0.84,1.6,SUPP082
SUPP023,Rohm Semiconductor,"Osaka, Japan",COMP0057,350.68,265025,29,0.53,4.7,SUPP015
SUPP048,Honeywell Sensing,"Eindhoven, Netherlands",COMP0353,88.46,377913,5,0.65,1.1,SUPP006
SUPP041,Macronix International,"Shanghai, China",COMP0090,14.64,385307,50,0.54,1.9,SUPP099
SUPP008,Texas Instruments,Singapore,COMP0256,578.16,372642,45,0.76,4.2,SUPP063
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0341,195.53,399379,31,0.95,2.3,SUPP055
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0001,212.66,98369,2,0.75,3.2,SUPP014
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0120,697.94,341922,46,0.7,3.8,SUPP042
SUPP096,Navitas Semiconductor,"Penang, Malaysia",COMP0264,334.57,157993,38,0.79,3.6,SUPP014
SUPP065,Skyworks Solutions,"Milan, Italy",COMP0477,438.47,32307,29,0.93,2.0,SUPP012
SUPP009,STMicroelectronics,"Osaka, Japan",COMP0275,685.38,429440,44,0.85,1.6,SUPP052
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0437,201.48,266684,32,0.5,4.4,SUPP063
SUPP090,Vishay Dale,"Seoul, South Korea",COMP0071,501.78,390052,44,0.84,4.5,SUPP005
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0164,603.67,67438,47,0.96,4.9,SUPP080
SUPP016,Molex,"Shanghai, China",COMP0114,58.57,112984,31,0.76,3.3,SUPP034
SUPP099,Cohu Inc,"Bangalore, India",COMP0018,491.73,259575,31,0.71,1.3,SUPP069
SUPP024,Toshiba Electronic Devices,"Bangalore, India",COMP0472,738.78,336736,3,0.76,5.0,SUPP069
SUPP080,Bourns Inductors,"Shanghai, China",COMP0223,307.59,464504,5,0.76,4.4,SUPP066
SUPP007,Panasonic Electronic Components,"Milan, Italy",COMP0494,318.85,73844,6,0.96,2.8,SUPP020
SUPP054,Dinkle,"Shanghai, China",COMP0270,78.26,404475,47,0.51,2.3,SUPP074
SUPP053,WAGO,"Shanghai, China",COMP0384,645.89,471285,44,0.88,3.9,SUPP033
SUPP084,Nordic Semiconductor,"Tokyo, Japan",COMP0158,404.63,360846,36,0.72,4.6,SUPP085
SUPP071,Panasonic Resistive,"Seoul, South Korea",COMP0149,671.56,7649,42,0.68,4.2,SUPP020
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0227,705.2,495284,40,0.76,4.3,SUPP023
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0337,374.98,166993,52,0.62,1.7,SUPP050
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0243,627.34,488208,12,0.52,3.4,SUPP006
SUPP015,Analog Devices,"Munich, Germany",COMP0129,579.34,433562,48,0.69,4.2,SUPP021
SUPP025,Maxim Integrated,"Milan, Italy",COMP0168,486.4,352498,21,0.73,2.9,SUPP032
SUPP014,Renesas Electronics,"Stockholm, Sweden",COMP0142,377.15,342384,29,0.65,3.1,SUPP043
SUPP070,Susumu,"Munich, Germany",COMP0345,63.08,326698,34,0.89,1.8,SUPP073
SUPP011,Infineon Technologies,"Hsinchu, Taiwan",COMP0384,204.43,294417,40,0.61,3.8,SUPP091
SUPP013,ON Semiconductor,"Gyeonggi, South Korea",COMP0163,377.66,427786,27,0.97,3.1,SUPP053
SUPP023,Rohm Semiconductor,"Osaka, Japan",COMP0409,732.41,353613,42,0.93,4.6,SUPP033
SUPP050,Amphenol Advanced Sensors,"Tokyo, Japan",COMP0469,491.91,49981,16,0.85,2.8,SUPP013
SUPP088,Marvell Technology,"Penang, Malaysia",COMP0281,693.15,94727,17,0.66,3.4,SUPP095
SUPP100,Entegris,"Tokyo, Japan",COMP0119,258.59,480776,47,0.94,3.8,SUPP019
SUPP058,ITT Cannon,"Munich, Germany",COMP0352,58.59,103941,10,0.72,2.3,SUPP034
SUPP031,Rubycon,"Zurich, Switzerland",COMP0283,17.14,407829,47,0.9,4.9,SUPP050
SUPP020,JST,"Munich, Germany",COMP0257,400.49,191461,20,0.96,3.8,SUPP066
SUPP056,Samtec,"Hsinchu, Taiwan",COMP0438,614.97,423013,2,0.57,4.8,SUPP081
SUPP049,TE Connectivity Sensors,"Osaka, Japan",COMP0446,275.99,474864,19,0.55,4.8,SUPP033
SUPP092,Bel Magnetic Solutions,"Taipei, Taiwan",COMP0461,377.85,177513,39,0.67,4.8,SUPP090
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0272,657.15,173570,28,0.76,3.4,SUPP049
SUPP044,Lumileds,"Austin, USA",COMP0353,696.77,280570,6,0.55,3.4,SUPP005
SUPP061,Rohde & Schwarz Components,"Bangalore, India",COMP0215,534.67,75500,4,0.9,4.4,SUPP027
SUPP077,BC Components,"Seoul, South Korea",COMP0170,117.91,457730,5,0.77,4.1,SUPP046
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0010,485.49,331350,29,0.63,2.1,SUPP024
SUPP069,Anaren Microwave,"Osaka, Japan",COMP0137,469.05,263265,26,0.69,2.7,SUPP057
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0147,151.19,287435,51,0.98,4.2,SUPP025
SUPP030,Nichicon,"Zurich, Switzerland",COMP0236,51.07,38743,16,0.83,2.3,SUPP053
SUPP089,Onsemi,"Eindhoven, Netherlands",COMP0145,548.12,93579,22,0.67,4.7,SUPP095
SUPP099,Cohu Inc,"Bangalore, India",COMP0017,155.85,431692,21,0.61,2.7,SUPP037
SUPP099,Cohu Inc,"Bangalore, India",COMP0254,251.3,338665,18,0.61,2.2,SUPP100
SUPP039,ISSI,"Stockholm, Sweden",COMP0102,607.38,107592,42,0.68,2.1,SUPP028
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0325,593.68,482101,34,0.98,1.9,SUPP046
SUPP033,Bel Fuse,"Munich, Germany",COMP0294,219.63,334198,24,0.84,3.1,SUPP025
SUPP092,Bel Magnetic Solutions,"Taipei, Taiwan",COMP0242,193.58,134112,1,0.58,1.8,SUPP034
SUPP058,ITT Cannon,"Munich, Germany",COMP0416,26.13,292035,50,0.69,4.7,SUPP077
SUPP054,Dinkle,"Shanghai, China",COMP0145,463.86,231528,35,0.64,3.3,SUPP073
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0263,104.74,239024,45,0.89,4.1,SUPP076
SUPP063,International Rectifier,"Gyeonggi, South Korea",COMP0144,45.43,469642,45,0.63,1.2,SUPP092
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0427,294.28,201447,13,0.87,4.1,SUPP078
SUPP014,Renesas Electronics,"Stockholm, Sweden",COMP0053,84.24,271533,26,0.71,1.8,SUPP022
SUPP078,Coilcraft Magnetics,"Bangalore, India",COMP0331,591.66,378956,45,0.85,2.0,SUPP094
SUPP033,Bel Fuse,"Munich, Germany",COMP0236,537.46,251255,24,0.87,3.1,SUPP095
SUPP078,Coilcraft Magnetics,"Bangalore, India",COMP0319,709.81,293371,8,0.63,3.6,SUPP073
SUPP076,Sprague Goodman,"Shanghai, China",COMP0256,717.24,171681,35,0.52,2.3,SUPP064
SUPP046,Lite-On Technology,"Zurich, Switzerland",COMP0322,738.43,299079,17,0.94,4.1,SUPP022
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0122,272.83,86629,42,0.67,1.5,SUPP005
SUPP049,TE Connectivity Sensors,"Osaka, Japan",COMP0443,210.23,417902,35,0.6,1.2,SUPP065
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0456,139.88,241344,21,0.88,3.6,SUPP009
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0151,288.33,309282,17,0.78,1.3,SUPP068
SUPP002,TDK Corporation,"Gyeonggi, South Korea",COMP0148,681.91,4513,6,0.79,2.1,SUPP047
SUPP095,GaN Systems,"San Jose, USA",COMP0031,338.59,43360,49,0.98,1.1,SUPP079
SUPP097,Power Integrations,"Shenzhen, China",COMP0431,454.13,491053,42,0.67,3.5,SUPP073
SUPP091,Ohmite,"Osaka, Japan",COMP0111,273.48,447282,32,0.79,2.0,SUPP019
SUPP065,Skyworks Solutions,"Milan, Italy",COMP0263,366.6,59686,9,0.93,4.5,SUPP046
SUPP035,Coilcraft,"Stockholm, Sweden",COMP0251,148.64,463222,52,0.94,3.6,SUPP080
SUPP021,Omron Electronics,"Seoul, South Korea",COMP0036,175.51,9138,1,0.8,1.0,SUPP070
SUPP061,Rohde & Schwarz Components,"Bangalore, India",COMP0113,106.03,281182,35,0.68,2.9,SUPP029
SUPP056,Samtec,"Hsinchu, Taiwan",COMP0152,321.47,417953,46,0.75,2.9,SUPP028
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0077,256.03,135766,31,0.62,4.9,SUPP009
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0022,399.55,52815,45,0.99,2.3,SUPP030
SUPP052,Weidmuller,"Hsinchu, Taiwan",COMP0207,652.43,439371,46,0.96,1.3,SUPP008
SUPP016,Molex,"Shanghai, China",COMP0059,112.82,202130,50,0.74,3.3,SUPP050
SUPP013,ON Semiconductor,"Gyeonggi, South Korea",COMP0105,128.97,307788,51,0.51,1.9,SUPP056
SUPP088,Marvell Technology,"Penang, Malaysia",COMP0109,228.85,463604,4,0.71,2.5,SUPP085
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0131,44.96,439229,26,0.94,2.6,SUPP031
SUPP023,Rohm Semiconductor,"Osaka, Japan",COMP0331,748.36,246395,28,0.5,4.9,SUPP044
SUPP006,AVX Corporation,"Penang, Malaysia",COMP0487,220.37,345140,12,0.89,3.8,SUPP022
SUPP030,Nichicon,"Zurich, Switzerland",COMP0389,163.61,445506,38,0.98,1.8,SUPP088
SUPP044,Lumileds,"Austin, USA",COMP0392,176.68,145193,3,0.78,4.0,SUPP001
SUPP068,Mini-Circuits,"Munich, Germany",COMP0373,347.29,144150,17,0.92,1.9,SUPP046
SUPP097,Power Integrations,"Shenzhen, China",COMP0137,689.68,479933,52,0.84,2.4,SUPP021
SUPP091,Ohmite,"Osaka, Japan",COMP0084,552.27,179477,23,0.74,4.4,SUPP034
SUPP007,Panasonic Electronic Components,"Milan, Italy",COMP0490,332.32,449901,17,0.9,4.3,SUPP013
SUPP021,Omron Electronics,"Seoul, South Korea",COMP0452,19.65,367418,29,0.89,4.3,SUPP054
SUPP038,Epson Timing,"Bangalore, India",COMP0494,403.03,371443,20,0.96,2.7,SUPP095
SUPP009,STMicroelectronics,"Osaka, Japan",COMP0176,60.72,448217,9,0.7,4.6,SUPP014
SUPP068,Mini-Circuits,"Munich, Germany",COMP0440,394.57,26396,10,0.96,4.8,SUPP073
SUPP004,Yageo Corporation,"Munich, Germany",COMP0029,697.0,341199,34,0.52,1.2,SUPP058
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0079,523.42,190396,19,0.7,3.0,SUPP061
SUPP031,Rubycon,"Zurich, Switzerland",COMP0311,356.81,145703,5,0.91,1.1,SUPP069
SUPP014,Renesas Electronics,"Stockholm, Sweden",COMP0419,653.43,260151,39,0.69,2.9,SUPP015
SUPP028,Semtech,"Penang, Malaysia",COMP0252,60.37,386444,5,0.57,2.6,SUPP050
SUPP070,Susumu,"Munich, Germany",COMP0286,709.99,374484,33,0.98,3.8,SUPP049
SUPP048,Honeywell Sensing,"Eindhoven, Netherlands",COMP0227,278.78,223430,49,0.98,2.7,SUPP075
SUPP086,MediaTek,"Seoul, South Korea",COMP0250,340.68,26168,10,0.9,4.6,SUPP098
SUPP075,Illinois Capacitor,"London, UK",COMP0037,721.24,90476,29,0.99,5.0,SUPP013
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0054,24.65,419810,18,0.78,4.3,SUPP021
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0367,609.43,240488,52,0.58,1.0,SUPP055
SUPP057,Harting,"Tokyo, Japan",COMP0001,230.59,322250,48,0.55,1.6,SUPP017
SUPP085,Espressif Systems,"London, UK",COMP0118,517.39,417772,15,0.63,2.7,SUPP093
SUPP042,Alliance Memory,"Gyeonggi, South Korea",COMP0261,493.98,253772,10,0.86,4.1,SUPP097
SUPP091,Ohmite,"Osaka, Japan",COMP0404,211.85,385982,3,0.86,1.7,SUPP090
SUPP033,Bel Fuse,"Munich, Germany",COMP0035,556.61,208109,24,0.7,3.4,SUPP055
SUPP002,TDK Corporation,"Gyeonggi, South Korea",COMP0309,46.43,36572,3,0.89,4.2,SUPP015
SUPP064,Microsemi,"Taipei, Taiwan",COMP0236,720.23,119010,25,0.58,2.8,SUPP047
SUPP015,Analog Devices,"Munich, Germany",COMP0067,236.48,58066,25,0.52,4.7,SUPP057
SUPP069,Anaren Microwave,"Osaka, Japan",COMP0301,31.09,232974,46,0.62,1.5,SUPP013
SUPP022,Bourns,Singapore,COMP0456,576.05,420472,40,0.54,2.7,SUPP087
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0364,306.68,98869,9,0.69,3.0,SUPP024
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0330,46.05,363325,42,0.97,2.9,SUPP046
SUPP075,Illinois Capacitor,"London, UK",COMP0025,205.39,101703,12,0.99,4.6,SUPP051
SUPP086,MediaTek,"Seoul, South Korea",COMP0313,689.77,88730,44,0.54,1.4,SUPP008
SUPP051,Phoenix Contact,"Bangalore, India",COMP0325,286.15,270646,17,0.95,2.3,SUPP048
SUPP097,Power Integrations,"Shenzhen, China",COMP0091,244.47,418685,18,0.68,2.5,SUPP025
SUPP046,Lite-On Technology,"Zurich, Switzerland",COMP0273,462.58,122450,10,0.7,2.3,SUPP078
SUPP015,Analog Devices,"Munich, Germany",COMP0404,178.98,281348,28,0.69,1.5,SUPP078
SUPP019,Hirose Electric,"Milan, Italy",COMP0200,429.0,372047,19,0.72,4.6,SUPP091
SUPP021,Omron Electronics,"Seoul, South Korea",COMP0317,748.71,139134,8,0.5,3.3,SUPP084
SUPP068,Mini-Circuits,"Munich, Germany",COMP0113,163.06,39450,1,0.57,1.3,SUPP016
SUPP035,Coilcraft,"Stockholm, Sweden",COMP0310,518.99,82813,29,0.55,1.9,SUPP099
SUPP039,ISSI,"Stockholm, Sweden",COMP0057,30.9,472019,18,0.68,3.8,SUPP031
SUPP051,Phoenix Contact,"Bangalore, India",COMP0032,517.87,134265,43,0.56,2.8,SUPP008
SUPP033,Bel Fuse,"Munich, Germany",COMP0305,335.04,225754,14,0.52,4.0,SUPP034
SUPP020,JST,"Munich, Germany",COMP0130,565.68,157839,19,0.78,2.9,SUPP041
SUPP060,Tektronix Supply,"Zurich, Switzerland",COMP0312,525.67,117826,33,0.74,3.0,SUPP045
SUPP020,JST,"Munich, Germany",COMP0449,512.17,235841,24,0.62,2.5,SUPP037
SUPP006,AVX Corporation,"Penang, Malaysia",COMP0171,690.92,479707,3,0.52,2.1,SUPP095
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0122,540.89,260137,50,0.87,4.1,SUPP099
SUPP044,Lumileds,"Austin, USA",COMP0287,736.07,483925,42,0.69,4.5,SUPP007
SUPP099,Cohu Inc,"Bangalore, India",COMP0453,55.42,153766,7,0.58,2.0,SUPP055
SUPP090,Vishay Dale,"Seoul, South Korea",COMP0035,416.1,18411,23,0.83,2.8,SUPP100
SUPP039,ISSI,"Stockholm, Sweden",COMP0463,338.21,32935,34,0.74,1.2,SUPP035
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0135,745.4,220410,14,0.63,2.6,SUPP070
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0473,452.69,10058,32,0.93,4.4,SUPP003
SUPP078,Coilcraft Magnetics,"Bangalore, India",COMP0403,703.91,353933,26,0.81,2.2,SUPP031
SUPP008,Texas Instruments,Singapore,COMP0389,348.26,270942,33,0.9,2.9,SUPP070
SUPP090,Vishay Dale,"Seoul, South Korea",COMP0323,530.95,427912,5,0.65,2.0,SUPP018
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0440,303.74,231336,49,0.64,2.2,SUPP014
SUPP031,Rubycon,"Zurich, Switzerland",COMP0016,555.55,27769,18,0.66,1.1,SUPP073
SUPP100,Entegris,"Tokyo, Japan",COMP0015,616.05,7011,24,0.55,2.2,SUPP008
SUPP038,Epson Timing,"Bangalore, India",COMP0012,200.9,124564,31,0.91,2.3,SUPP027
SUPP050,Amphenol Advanced Sensors,"Tokyo, Japan",COMP0029,20.24,86100,13,0.67,2.9,SUPP024
SUPP080,Bourns Inductors,"Shanghai, China",COMP0392,275.03,452933,45,0.71,2.8,SUPP071
SUPP066,Qorvo,"Gyeonggi, South Korea",COMP0116,189.86,147464,17,0.99,2.7,SUPP099
SUPP002,TDK Corporation,"Gyeonggi, South Korea",COMP0146,83.17,406972,7,0.76,2.9,SUPP077
SUPP060,Tektronix Supply,"Zurich, Switzerland",COMP0484,527.61,306104,4,0.64,4.0,SUPP062
SUPP032,Würth Elektronik,"Hsinchu, Taiwan",COMP0210,596.95,419902,32,0.86,3.9,SUPP027
SUPP079,Sumida,"Stockholm, Sweden",COMP0154,80.95,299549,20,0.57,1.1,SUPP090
SUPP094,Transphorm,"Gyeonggi, South Korea",COMP0417,686.55,363862,13,0.66,2.7,SUPP027
SUPP099,Cohu Inc,"Bangalore, India",COMP0126,604.98,141469,45,0.5,2.4,SUPP011
SUPP065,Skyworks Solutions,"Milan, Italy",COMP0245,236.25,35311,8,0.54,4.1,SUPP034
SUPP062,Fairchild Semiconductor,"Taipei, Taiwan",COMP0155,542.95,27546,40,0.66,4.9,SUPP048
SUPP008,Texas Instruments,Singapore,COMP0385,274.89,462459,5,0.66,2.9,SUPP005
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0145,468.22,70925,2,0.99,3.9,SUPP039
SUPP080,Bourns Inductors,"Shanghai, China",COMP0468,155.03,444517,22,0.99,1.4,SUPP022
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0466,268.33,213120,28,0.74,4.3,SUPP010
SUPP063,International Rectifier,"Gyeonggi, South Korea",COMP0015,574.57,60881,36,0.97,3.6,SUPP085
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0077,288.75,13660,33,0.96,3.1,SUPP095
SUPP080,Bourns Inductors,"Shanghai, China",COMP0410,542.65,384685,43,0.98,4.9,SUPP034
SUPP007,Panasonic Electronic Components,"Milan, Italy",COMP0421,159.28,234761,13,0.88,4.5,SUPP075
SUPP085,Espressif Systems,"London, UK",COMP0461,292.45,21282,23,0.9,3.1,SUPP066
SUPP085,Espressif Systems,"London, UK",COMP0019,677.37,13809,34,0.93,3.8,SUPP012
SUPP087,Broadcom Limited,"Eindhoven, Netherlands",COMP0410,507.68,119435,30,0.56,4.3,SUPP023
SUPP084,Nordic Semiconductor,"Tokyo, Japan",COMP0170,457.35,21762,48,0.84,2.7,SUPP065
SUPP066,Qorvo,"Gyeonggi, South Korea",COMP0343,36.99,275748,10,0.72,1.0,SUPP030
SUPP035,Coilcraft,"Stockholm, Sweden",COMP0432,445.82,70543,3,0.95,3.9,SUPP080
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0045,173.45,325320,34,0.67,2.8,SUPP083
SUPP021,Omron Electronics,"Seoul, South Korea",COMP0110,400.9,336139,44,0.54,3.8,SUPP034
SUPP032,Würth Elektronik,"Hsinchu, Taiwan",COMP0419,14.28,439524,31,0.81,1.7,SUPP047
SUPP086,MediaTek,"Seoul, South Korea",COMP0120,346.7,121695,46,0.66,4.9,SUPP013
SUPP044,Lumileds,"Austin, USA",COMP0092,678.02,350516,20,0.84,4.8,SUPP056
SUPP002,TDK Corporation,"Gyeonggi, South Korea",COMP0432,605.16,211931,38,0.75,1.3,SUPP040
SUPP051,Phoenix Contact,"Bangalore, India",COMP0057,110.77,51092,1,0.99,2.0,SUPP063
SUPP022,Bourns,Singapore,COMP0263,8.42,307372,38,0.8,1.6,SUPP061
SUPP026,Lattice Semiconductor,Singapore,COMP0242,551.12,364629,11,0.92,4.1,SUPP078
SUPP032,Würth Elektronik,"Hsinchu, Taiwan",COMP0233,709.77,62516,30,1.0,4.5,SUPP057
SUPP025,Maxim Integrated,"Milan, Italy",COMP0270,141.74,434608,16,0.61,4.0,SUPP032
SUPP075,Illinois Capacitor,"London, UK",COMP0407,550.71,81051,38,0.53,1.1,SUPP007
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0131,432.78,463212,42,0.95,3.0,SUPP099
SUPP085,Espressif Systems,"London, UK",COMP0391,110.19,182638,47,0.93,4.2,SUPP078
SUPP046,Lite-On Technology,"Zurich, Switzerland",COMP0375,294.57,414696,4,0.67,2.0,SUPP096
SUPP080,Bourns Inductors,"Shanghai, China",COMP0262,462.73,144643,3,0.55,4.2,SUPP097
SUPP039,ISSI,"Stockholm, Sweden",COMP0009,305.53,118006,15,0.75,2.9,SUPP013
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0033,629.76,163238,7,0.9,1.6,SUPP017
SUPP041,Macronix International,"Shanghai, China",COMP0435,701.75,80441,19,0.61,1.6,SUPP100
SUPP078,Coilcraft Magnetics,"Bangalore, India",COMP0177,40.26,11956,31,0.69,4.4,SUPP050
SUPP072,KOA Speer,"Hsinchu, Taiwan",COMP0186,58.85,482110,4,0.73,4.4,SUPP075
SUPP053,WAGO,"Shanghai, China",COMP0064,21.21,179376,14,0.64,1.2,SUPP048
SUPP039,ISSI,"Stockholm, Sweden",COMP0153,165.87,418623,27,0.74,2.8,SUPP001
SUPP049,TE Connectivity Sensors,"Osaka, Japan",COMP0053,333.36,430865,2,0.8,4.1,SUPP073
SUPP031,Rubycon,"Zurich, Switzerland",COMP0308,517.45,131666,24,0.55,2.4,SUPP091
SUPP031,Rubycon,"Zurich, Switzerland",COMP0353,706.41,176223,1,0.76,3.5,SUPP018
SUPP024,Toshiba Electronic Devices,"Bangalore, India",COMP0235,417.26,188997,43,0.71,4.3,SUPP058
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0115,555.36,180652,48,0.87,3.2,SUPP025
SUPP090,Vishay Dale,"Seoul, South Korea",COMP0273,30.97,141841,43,0.97,2.7,SUPP029
SUPP044,Lumileds,"Austin, USA",COMP0385,216.4,476245,17,0.67,2.1,SUPP087
SUPP020,JST,"Munich, Germany",COMP0304,104.33,228695,44,0.53,4.7,SUPP064
SUPP016,Molex,"Shanghai, China",COMP0229,541.86,272398,17,0.88,1.6,SUPP039
SUPP075,Illinois Capacitor,"London, UK",COMP0199,231.07,110841,18,0.73,2.5,SUPP084
SUPP089,Onsemi,"Eindhoven, Netherlands",COMP0422,696.99,438333,41,0.67,4.1,SUPP094
SUPP056,Samtec,"Hsinchu, Taiwan",COMP0332,480.22,393376,1,0.72,3.0,SUPP001
SUPP079,Sumida,"Stockholm, Sweden",COMP0122,619.64,288723,23,0.53,4.7,SUPP099
SUPP076,Sprague Goodman,"Shanghai, China",COMP0138,461.96,419588,50,0.51,4.7,SUPP078
SUPP073,Stackpole Electronics,Singapore,COMP0425,302.0,490560,38,0.87,2.3,SUPP057
SUPP084,Nordic Semiconductor,"Tokyo, Japan",COMP0450,521.8,451931,42,0.75,4.1,SUPP007
SUPP009,STMicroelectronics,"Osaka, Japan",COMP0224,220.33,187360,8,0.65,1.3,SUPP023
SUPP038,Epson Timing,"Bangalore, India",COMP0423,654.58,479166,23,0.7,3.2,SUPP004
SUPP070,Susumu,"Munich, Germany",COMP0086,588.62,414888,35,0.86,4.0,SUPP090
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0133,656.61,376090,15,0.64,1.2,SUPP086
SUPP027,Diodes Incorporated,"Shenzhen, China",COMP0416,256.13,326008,16,0.59,1.2,SUPP072
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0148,563.74,170776,10,0.73,2.7,SUPP020
SUPP071,Panasonic Resistive,"Seoul, South Korea",COMP0180,630.8,402389,23,0.88,1.5,SUPP075
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0446,395.49,322834,17,0.74,3.9,SUPP072
SUPP092,Bel Magnetic Solutions,"Taipei, Taiwan",COMP0243,99.34,397849,37,0.82,4.9,SUPP065
